case_id,method_id,artifact_source,tracked_status,branch_or_location,local_only,problem_text_available,gold_available,selected_answer_available,selected_source_available,failure_label_available,trace_or_candidate_metadata_available,PAL_metadata_available,evidence_completeness,failure_family,notes
openai_gsm8k_30,production_equiv_v1_relaxed,outputs/pal_vs_production_multibatch_relaxed_live_20260509T010509Z/relaxed_pal_vs_prod_casebook_new.csv,untracked,artifact-preservation-20260509,yes,yes,yes,yes,yes,yes,yes,yes,FULL,final_target_mismatch,
openai_gsm8k_59,production_equiv_v1_relaxed,outputs/pal_vs_production_multibatch_relaxed_live_20260509T010509Z/relaxed_pal_vs_prod_casebook_new.csv,untracked,artifact-preservation-20260509,yes,yes,yes,yes,yes,yes,yes,yes,FULL,final_target_mismatch,
openai_gsm8k_62,production_equiv_v1_relaxed,outputs/pal_vs_production_multibatch_relaxed_live_20260509T010509Z/relaxed_pal_vs_prod_casebook_new.csv,untracked,artifact-preservation-20260509,yes,yes,yes,yes,yes,yes,yes,yes,FULL,final_target_mismatch,
openai_gsm8k_157,production_equiv_v1_relaxed,outputs/pal_vs_production_multibatch_relaxed_live_20260509T010509Z/relaxed_pal_vs_prod_casebook_new.csv,untracked,artifact-preservation-20260509,yes,yes,yes,yes,yes,yes,yes,yes,FULL,multi_step_computation,
openai_gsm8k_217,production_equiv_v1_relaxed,outputs/pal_vs_production_multibatch_relaxed_live_20260509T010509Z/relaxed_pal_vs_prod_casebook_new.csv,untracked,artifact-preservation-20260509,yes,yes,yes,yes,yes,yes,yes,yes,FULL,final_target_mismatch,
openai_gsm8k_228,production_equiv_v1_relaxed,outputs/pal_vs_production_multibatch_relaxed_live_20260509T010509Z/relaxed_pal_vs_prod_casebook_new.csv,untracked,artifact-preservation-20260509,yes,yes,yes,yes,yes,yes,yes,yes,FULL,parse_format,
openai_gsm8k_245,production_equiv_v1_relaxed,outputs/pal_vs_production_multibatch_relaxed_live_20260509T010509Z/relaxed_pal_vs_prod_casebook_new.csv,untracked,artifact-preservation-20260509,yes,yes,yes,yes,yes,yes,yes,yes,FULL,final_target_mismatch,
openai_gsm8k_337,production_equiv_v1_relaxed,outputs/pal_vs_production_multibatch_relaxed_live_20260509T010509Z/relaxed_pal_vs_prod_casebook_new.csv,untracked,artifact-preservation-20260509,yes,yes,yes,yes,yes,yes,yes,yes,FULL,parse_format,
openai_gsm8k_358,production_equiv_v1_relaxed,outputs/pal_vs_production_multibatch_relaxed_live_20260509T010509Z/relaxed_pal_vs_prod_casebook_new.csv,untracked,artifact-preservation-20260509,yes,yes,yes,yes,yes,yes,yes,yes,FULL,final_target_mismatch,
openai_gsm8k_1177,production_equiv_v1_multibatch,outputs/pal_vs_production_multibatch_casebook_live_20260508T234831Z/cumulative_pal_vs_prod_casebook.csv,untracked,artifact-preservation-20260509,yes,yes,yes,yes,yes,yes,yes,yes,FULL,final_target_mismatch,
