case_id,category,scaffold_v2,parsed_final_answer,gold_answer,exact_match,current_integrated_prediction,current_integrated_correct,external_l1_prediction,external_l1_correct,improved_over_current_integrated,beats_external_l1_on_case,response_text_path,notes
openai_gsm8k_674,external_l1_only,state_composition,10,10,true,13,false,10,true,yes,no,responses/openai_gsm8k_674.txt,
openai_gsm8k_683,external_l1_only,percent_base_denominator,94,94,true,62,false,94,true,yes,no,responses/openai_gsm8k_683.txt,
openai_gsm8k_746,external_l1_only,state_composition,6,6,true,12,false,6,true,yes,no,responses/openai_gsm8k_746.txt,
openai_gsm8k_752,external_l1_only,combinatorics_counting,60,60,true,63,false,60,true,yes,no,responses/openai_gsm8k_752.txt,
openai_gsm8k_758,external_l1_only,average_target_score,98,98,true,1,false,98,true,yes,no,responses/openai_gsm8k_758.txt,
openai_gsm8k_765,external_l1_only,state_composition,80,80,true,-80,false,80,true,yes,no,responses/openai_gsm8k_765.txt,
openai_gsm8k_769,external_l1_only,ratio_partition,25,25,true,100,false,25,true,yes,no,responses/openai_gsm8k_769.txt,
openai_gsm8k_687,both_wrong,percent_base_denominator,99076.92,140,false,99076.92307692308,false,56000,false,unknown,unknown,responses/openai_gsm8k_687.txt,
openai_gsm8k_695,both_wrong,state_composition,6000,194,false,1,false,4125,false,unknown,unknown,responses/openai_gsm8k_695.txt,
openai_gsm8k_702,both_wrong,percent_base_denominator,139,138,false,139,false,139,false,unknown,unknown,responses/openai_gsm8k_702.txt,
openai_gsm8k_706,both_wrong,ratio_partition,25,25,true,100,false,2,false,yes,yes,responses/openai_gsm8k_706.txt,
openai_gsm8k_707,both_wrong,state_composition,14,145,false,14,false,14,false,unknown,unknown,responses/openai_gsm8k_707.txt,
openai_gsm8k_725,both_wrong,state_composition,95,95,true,5700,false,5700,false,yes,yes,responses/openai_gsm8k_725.txt,
openai_gsm8k_726,both_wrong,ratio_partition,3,3,true,13,false,13,false,yes,yes,responses/openai_gsm8k_726.txt,
