case_id,source_bundle,likely_failure_family,selected_schema,trigger_reason,prompt_path,planned_call_count
openai_gsm8k_1121,production_equiv_loss_bank,retry_commit_miss,before_after_state_schema,auto_schema_selection:before_after_state_schema,outputs/schema_grounded_retry_v1_dry_run_20260508T205718Z/prompts/openai_gsm8k_1121__before_after_state_schema.txt,1
openai_gsm8k_1155,production_equiv_loss_bank,structural_commit_wrong,quantity_ledger_schema,auto_schema_selection:quantity_ledger_schema,outputs/schema_grounded_retry_v1_dry_run_20260508T205718Z/prompts/openai_gsm8k_1155__quantity_ledger_schema.txt,1
openai_gsm8k_1198,production_equiv_loss_bank,parse_failure,before_after_state_schema,auto_schema_selection:before_after_state_schema,outputs/schema_grounded_retry_v1_dry_run_20260508T205718Z/prompts/openai_gsm8k_1198__before_after_state_schema.txt,1
openai_gsm8k_1077,production_equiv_loss_bank,structural_commit_wrong,ratio_equation_schema,auto_schema_selection:ratio_equation_schema,outputs/schema_grounded_retry_v1_dry_run_20260508T205718Z/prompts/openai_gsm8k_1077__ratio_equation_schema.txt,1
openai_gsm8k_1080,production_equiv_loss_bank,structural_commit_wrong,quantity_ledger_schema,auto_schema_selection:quantity_ledger_schema,outputs/schema_grounded_retry_v1_dry_run_20260508T205718Z/prompts/openai_gsm8k_1080__quantity_ledger_schema.txt,1
openai_gsm8k_1081,production_equiv_loss_bank,structural_commit_wrong,before_after_state_schema,auto_schema_selection:before_after_state_schema,outputs/schema_grounded_retry_v1_dry_run_20260508T205718Z/prompts/openai_gsm8k_1081__before_after_state_schema.txt,1
openai_gsm8k_1112,production_equiv_loss_bank,retry_commit_miss,target_difference_schema,auto_schema_selection:target_difference_schema,outputs/schema_grounded_retry_v1_dry_run_20260508T205718Z/prompts/openai_gsm8k_1112__target_difference_schema.txt,1
openai_gsm8k_1115,production_equiv_loss_bank,retry_commit_miss,rate_table_schema,auto_schema_selection:rate_table_schema,outputs/schema_grounded_retry_v1_dry_run_20260508T205718Z/prompts/openai_gsm8k_1115__rate_table_schema.txt,1
openai_gsm8k_1131,production_equiv_loss_bank,structural_commit_wrong,ratio_equation_schema,auto_schema_selection:ratio_equation_schema,outputs/schema_grounded_retry_v1_dry_run_20260508T205718Z/prompts/openai_gsm8k_1131__ratio_equation_schema.txt,1
openai_gsm8k_1132,production_equiv_loss_bank,structural_commit_wrong,quantity_ledger_schema,auto_schema_selection:quantity_ledger_schema,outputs/schema_grounded_retry_v1_dry_run_20260508T205718Z/prompts/openai_gsm8k_1132__quantity_ledger_schema.txt,1
openai_gsm8k_1137,production_equiv_loss_bank,retry_commit_miss,ratio_equation_schema,auto_schema_selection:ratio_equation_schema,outputs/schema_grounded_retry_v1_dry_run_20260508T205718Z/prompts/openai_gsm8k_1137__ratio_equation_schema.txt,1
openai_gsm8k_1144,production_equiv_loss_bank,structural_commit_wrong,average_total_count_schema,auto_schema_selection:average_total_count_schema,outputs/schema_grounded_retry_v1_dry_run_20260508T205718Z/prompts/openai_gsm8k_1144__average_total_count_schema.txt,1
openai_gsm8k_1210,nonoverlap_gold_absent_discovery,gold_absent_discovery_candidate,before_after_state_schema,auto_schema_selection:before_after_state_schema,outputs/schema_grounded_retry_v1_dry_run_20260508T205718Z/prompts/openai_gsm8k_1210__before_after_state_schema.txt,1
openai_gsm8k_1291,nonoverlap_gold_absent_discovery,gold_absent_discovery_candidate,average_total_count_schema,auto_schema_selection:average_total_count_schema,outputs/schema_grounded_retry_v1_dry_run_20260508T205718Z/prompts/openai_gsm8k_1291__average_total_count_schema.txt,1
openai_gsm8k_1303,nonoverlap_gold_absent_discovery,gold_absent_discovery_candidate,ratio_equation_schema,auto_schema_selection:ratio_equation_schema,outputs/schema_grounded_retry_v1_dry_run_20260508T205718Z/prompts/openai_gsm8k_1303__ratio_equation_schema.txt,1
