baseline,mode,script,config,return_code,runnable,run_dir,observed_mode_b_status,expected_mode_b_status,mode_b_status_matches_expectation,mode_b_notes,stderr_tail
s1,mode_a,scripts/run_s1_budget_forcing_baseline.py,configs/s1_budget_forcing_inference_only_v1.json,0,True,/mmfs1/home/sv96/adaptive-reasoning-budget-allocation/outputs/s1_baseline/verify_20260421T190758Z_0_s1_mode_a,not_requested,not_requested,True,,
s1,mode_b,scripts/run_s1_budget_forcing_baseline.py,configs/s1_full_or_official_adapter_v1.json,0,True,/mmfs1/home/sv96/adaptive-reasoning-budget-allocation/outputs/s1_baseline/verify_20260421T190758Z_1_s1_mode_b,blocked,blocked,True,"Official mode requested, but no `official.results_path` was provided. MODE B in this repo is a strict official-results import + verification path, not a local full post-training reproduction.",
tale,mode_a,scripts/run_tale_baseline.py,configs/tale_prompt_budgeting_v1.json,0,True,/mmfs1/home/sv96/adaptive-reasoning-budget-allocation/outputs/tale_baseline/verify_20260421T190758Z_2_tale_mode_a,not_requested,not_requested,True,,
tale,mode_b,scripts/run_tale_baseline.py,configs/tale_official_adapter_v1.json,0,True,/mmfs1/home/sv96/adaptive-reasoning-budget-allocation/outputs/tale_baseline/verify_20260421T190758Z_3_tale_mode_b,blocked,blocked,True,"Official/full TALE mode requested, but no `official.results_path` was provided. MODE B here is strict official/full import + verification, not local TALE/TALE-PT reproduction.",
l1,mode_a,scripts/run_l1_baseline.py,configs/l1_inference_adapter_v1.json,0,True,/mmfs1/home/sv96/adaptive-reasoning-budget-allocation/outputs/l1_baseline/verify_20260421T190758Z_4_l1_mode_a,not_requested,not_requested,True,,
l1,mode_b,scripts/run_l1_baseline.py,configs/l1_official_full_adapter_v1.json,0,True,/mmfs1/home/sv96/adaptive-reasoning-budget-allocation/outputs/l1_baseline/verify_20260421T190758Z_5_l1_mode_b,blocked,blocked,True,"Official mode requested, but this repo does not reproduce L1 RL training automatically. Provide `official.results_path` with exported official run metrics to complete MODE B reporting.",
best_route,adjacent_import,scripts/verify_best_route_import.py,tests/fixtures/best_route_import_valid,0,True,,valid,valid,True,BEST-Route adjacent import fixture validation,
when_solve_when_verify,adjacent_import,scripts/verify_when_solve_when_verify_import.py,tests/fixtures/when_solve_when_verify_import_valid,0,True,,valid,valid,True,when_solve_when_verify adjacent import fixture validation,
cascade_routing,adjacent_import,scripts/verify_cascade_routing_import.py,tests/fixtures/cascade_routing_import_valid,0,True,,valid,valid,True,cascade_routing adjacent import fixture validation,
mob_majority_of_bests,adjacent_import,scripts/verify_mob_import.py,tests/fixtures/mob_import_valid,0,True,,valid,valid,True,mob_majority_of_bests adjacent import fixture validation,
rest_mcts,adjacent_import,scripts/verify_rest_mcts_import.py,tests/fixtures/rest_mcts_import_valid,0,True,,valid,valid,True,rest_mcts adjacent import fixture validation,
openr,adjacent_import,scripts/verify_openr_import.py,tests/fixtures/openr_import_valid,0,True,,valid,valid,True,openr adjacent import fixture validation,
