artifact_kind,relative_path,note
paired_pilot_bundle,outputs/cohere_paired_pal_vs_external_l1_fresh_20260505T222840Z/,PR #357 capped paired PAL vs external_l1_max; paired_summary.json + CSVs
allowlist_builder,scripts/build_fresh_gsm8k_paired_allowlist.py,Deterministic fresh JSONL; exclusions include dirs if present
bundle_materializer,scripts/materialize_cohere_paired_pal_external_bundle.py,PAL_METHOD constant + artifact bundling
cohere_real_model_cost_normalized_validation_run,outputs/cohere_real_model_cost_normalized_validation_20260425T133000Z_COHERE_STAGE1_MIN/,has_per_example_records.jsonl
cohere_real_model_cost_normalized_validation_run,outputs/cohere_real_model_cost_normalized_validation_20260425T_WULVER_COHERE_NONMATH_AUDIT/,dir_only
cohere_real_model_cost_normalized_validation_run,outputs/cohere_real_model_cost_normalized_validation_20260428T195414Z/,dir_only
cohere_real_model_cost_normalized_validation_run,outputs/cohere_real_model_cost_normalized_validation_20260428T195414Z_DRYCHECK/,dir_only
cohere_real_model_cost_normalized_validation_run,outputs/cohere_real_model_cost_normalized_validation_20260429T223615Z/,dir_only
cohere_real_model_cost_normalized_validation_run,outputs/cohere_real_model_cost_normalized_validation_20260429T225202Z/,dir_only
cohere_real_model_cost_normalized_validation_run,outputs/cohere_real_model_cost_normalized_validation_20260429T_OV_RERANK_100CASE_COHERE_BACKEND/,dir_only
cohere_real_model_cost_normalized_validation_run,outputs/cohere_real_model_cost_normalized_validation_20260429T_OV_RERANK_100CASE_COHERE_BACKEND_VALIDATE/,dir_only
cohere_real_model_cost_normalized_validation_run,outputs/cohere_real_model_cost_normalized_validation_20260429T_PRM_STEP_RERANK_VALIDATE/,dir_only
cohere_real_model_cost_normalized_validation_run,outputs/cohere_real_model_cost_normalized_validation_20260501T145700Z_COHERE_SELECTOR_EVIDENCE_REGEN50/,dir_only
cohere_real_model_cost_normalized_validation_run,outputs/cohere_real_model_cost_normalized_validation_TRACE_REPLAY_COHERE_GSM8K_STAGE1_MIN/,has_per_example_records.jsonl
gsm8k_held_out_dr,outputs/gsm8k_held_out_dr_comparison_HELDOUT_100_DR_MAIN/,Committed output snapshot
