metric,value
num_examples,25
original_dr_v2_accuracy,0.44
selected_selector_accuracy,0.6
external_l1_max_accuracy,0.64
delta_selected_vs_original,0.15999999999999998
delta_selected_vs_external,-0.040000000000000036
selected_beats_external_count,1
external_beats_selected_count,2
both_correct,14
both_wrong,8
original_correct_cases,11
selected_breaks_among_original_correct,1
break_rate,0.09090909090909091
cases_with_scored_candidate_groups,25
candidates_missing_verifier_scores,0
actual_selector_overrides,10
fallback_to_incumbent_due_to_missing_scores,0
selected_answer_differs_from_original_count,10
selected_candidates_not_in_pool_count,0
fixes,5
breaks,1
net_fixes_minus_breaks,4
gold_absent_from_dr_v2_tree,4
gold_present_original_not_chosen,10
gold_present_selected_still_not_chosen,6
selected_fixed_gold_present_miss,5
selected_wrong_cases,10
discovery_bottleneck_wrong_cases,4
selector_bottleneck_wrong_cases,6
discovery_bottleneck_share_among_selected_wrong,0.4
selector_bottleneck_share_among_selected_wrong,0.6
