budget,rank,method,method_class,accuracy
10,1,strict_f2,inhouse,0.7
10,2,strict_gate1_cap_k6,inhouse,0.6875
10,3,strict_f3,inhouse,0.6375
10,4,external_l1_max,near_direct_external,0.5145833333333333
10,5,external_l1_exact,near_direct_external,0.4979166666666667
10,6,external_s1_budget_forcing,near_direct_external,0.4791666666666667
10,7,external_tale_prompt_budgeting,near_direct_external,0.4708333333333333
12,1,strict_gate1_cap_k6,inhouse,0.6520833333333333
12,2,strict_f2,inhouse,0.6333333333333333
12,3,strict_f3,inhouse,0.6291666666666667
12,4,external_tale_prompt_budgeting,near_direct_external,0.47708333333333336
12,5,external_l1_max,near_direct_external,0.47291666666666665
12,6,external_s1_budget_forcing,near_direct_external,0.47291666666666665
12,7,external_l1_exact,near_direct_external,0.44166666666666665
14,1,strict_gate1_cap_k6,inhouse,0.7229166666666667
14,2,strict_f2,inhouse,0.6645833333333333
14,3,strict_f3,inhouse,0.6625
14,4,external_l1_max,near_direct_external,0.50625
14,5,external_tale_prompt_budgeting,near_direct_external,0.4875
14,6,external_l1_exact,near_direct_external,0.48541666666666666
14,7,external_s1_budget_forcing,near_direct_external,0.475
