example_id,bucket,pal_exact,external_exact,pal_overlay_triggered,gold_in_selector_pool,gold_in_trace_candidates,gold_in_execution_output,gold_absent_everywhere_detectable,gold_available_somewhere_not_selector_pool,selection_or_overlay_likely_loss,upstream_generation_likely_loss,discovery_first_gate_would_trigger,discovery_first_gate_recoverable_if_trigger,selector_pool_unique_groups,trace_nonpool_unique_groups
openai_gsm8k_773,external_only,0,1,1,0,0,0,1,0,0,1,0,0,2,1
openai_gsm8k_778,both_wrong,0,0,1,0,0,0,1,0,0,1,0,0,2,1
openai_gsm8k_781,both_wrong,0,0,1,0,0,0,1,0,0,1,0,0,2,0
openai_gsm8k_787,external_only,0,1,1,0,1,0,0,1,0,0,0,0,2,2
openai_gsm8k_794,both_wrong,0,0,1,0,0,0,1,0,0,1,0,0,2,1
openai_gsm8k_812,both_wrong,0,0,1,0,0,0,1,0,0,1,0,0,2,1
openai_gsm8k_814,external_only,0,1,1,0,0,0,1,0,0,1,0,0,2,2
openai_gsm8k_818,external_only,0,1,1,0,1,0,0,1,0,0,0,0,2,1
openai_gsm8k_819,both_wrong,0,0,1,0,0,0,1,0,0,1,0,0,2,1
openai_gsm8k_820,both_wrong,0,0,1,0,1,0,0,1,0,0,0,0,2,1
openai_gsm8k_829,external_only,0,1,1,0,0,0,1,0,0,1,0,0,2,0
openai_gsm8k_832,both_wrong,0,0,1,0,0,0,1,0,0,1,1,0,1,0
openai_gsm8k_841,external_only,0,1,1,0,0,0,1,0,0,1,0,0,2,1
openai_gsm8k_851,external_only,0,1,0,0,0,0,1,0,0,1,0,0,3,1
openai_gsm8k_864,external_only,0,1,1,0,1,0,0,1,0,0,0,0,2,1
openai_gsm8k_865,both_wrong,0,0,1,0,0,0,1,0,0,1,0,0,2,2
openai_gsm8k_875,external_only,0,1,0,0,0,0,1,0,0,1,0,0,3,0
openai_gsm8k_878,both_wrong,0,0,1,0,0,0,1,0,0,1,0,0,3,1
openai_gsm8k_897,both_wrong,0,0,1,0,0,0,1,0,0,1,1,0,1,0
openai_gsm8k_898,both_wrong,0,0,1,0,0,0,1,0,0,1,0,0,2,1
openai_gsm8k_906,external_only,0,1,1,0,0,0,1,0,0,1,0,0,2,0
openai_gsm8k_917,both_wrong,0,0,1,0,0,0,1,0,0,1,0,0,2,1
openai_gsm8k_929,both_wrong,0,0,1,0,0,0,1,0,0,1,1,0,1,1
openai_gsm8k_931,external_only,0,1,1,0,1,0,0,1,0,0,0,0,2,2
openai_gsm8k_934,both_wrong,0,0,1,0,0,0,1,0,0,1,0,0,2,1
openai_gsm8k_944,both_wrong,0,0,1,0,0,0,1,0,0,1,0,0,2,1
openai_gsm8k_951,both_wrong,0,0,1,0,1,0,0,1,0,0,0,0,3,1
openai_gsm8k_953,both_wrong,0,0,1,0,0,0,1,0,0,1,0,0,2,1
openai_gsm8k_970,external_only,0,1,1,0,1,0,0,1,0,0,0,0,2,1
openai_gsm8k_974,both_wrong,0,0,1,0,0,0,1,0,0,1,0,0,2,1
openai_gsm8k_976,both_wrong,0,0,1,0,0,0,1,0,0,1,0,0,2,0
openai_gsm8k_979,both_wrong,0,0,1,0,0,0,1,0,0,1,1,0,1,1
openai_gsm8k_995,external_only,0,1,1,0,0,0,1,0,0,1,0,0,2,1
openai_gsm8k_1003,external_only,0,1,0,0,0,0,1,0,0,1,0,0,2,0
openai_gsm8k_1006,external_only,0,1,0,0,0,0,1,0,0,1,0,0,3,0
openai_gsm8k_1013,both_wrong,0,0,1,0,1,0,0,1,0,0,0,0,2,2
openai_gsm8k_1019,external_only,0,1,1,0,1,0,0,1,0,0,0,0,2,2
openai_gsm8k_1021,both_wrong,0,0,1,0,0,0,1,0,0,1,1,0,1,1
openai_gsm8k_1025,both_wrong,0,0,0,0,0,0,1,0,0,1,0,0,2,0
openai_gsm8k_1027,external_only,0,1,0,0,0,0,1,0,0,1,0,0,2,0
openai_gsm8k_1029,external_only,0,1,1,0,0,0,1,0,0,1,0,0,2,1
openai_gsm8k_1035,both_wrong,0,0,1,0,0,0,1,0,0,1,0,0,3,0
openai_gsm8k_1045,external_only,0,1,1,0,1,0,0,1,0,0,0,0,2,1
openai_gsm8k_1069,both_wrong,0,0,1,0,0,0,1,0,0,1,0,0,2,1
