dataset,example_id,question,answer,source_artifact
openai/gsm8k,openai_gsm8k_1082,,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/selected_50case_core4_baseline_cases.csv
openai/gsm8k,openai_gsm8k_1083,,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/selected_50case_core4_baseline_cases.csv
openai/gsm8k,openai_gsm8k_1085,,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/selected_50case_core4_baseline_cases.csv
openai/gsm8k,openai_gsm8k_1087,,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/selected_50case_core4_baseline_cases.csv
openai/gsm8k,openai_gsm8k_1095,,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/selected_50case_core4_baseline_cases.csv
openai/gsm8k,openai_gsm8k_1097,,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/selected_50case_core4_baseline_cases.csv
openai/gsm8k,openai_gsm8k_1099,,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/selected_50case_core4_baseline_cases.csv
openai/gsm8k,openai_gsm8k_1116,,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/selected_50case_core4_baseline_cases.csv
openai/gsm8k,openai_gsm8k_1120,,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/selected_50case_core4_baseline_cases.csv
openai/gsm8k,openai_gsm8k_1121,,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/selected_50case_core4_baseline_cases.csv
