provider,provider_key,model,dataset,dataset_key,status,expected_n,paired_n,Frontier_correct,Frontier_n,Frontier_acc_pct,FTA_correct,FTA_n,FTA_acc_pct,L1_correct,L1_n,L1_acc_pct,S1_correct,S1_n,S1_acc_pct,TALE_correct,TALE_n,TALE_acc_pct,winner,winner_class,gold_in_frontier_tree_count,gold_in_frontier_tree_rate,trust_tier,source_files
Cohere,cohere,command-r-plus-08-2024,GSM8K,openai/gsm8k,COMPLETE_VALIDATED,300,300,230,300,76.666667,260,300,86.666667,249,300,83.0,246,300,82.0,235,300,78.333333,FTA,OUR,272,0.906667,A,outputs/final_fix24_all_external_validation_20260519_20260520T000902Z/runner_output/cohere_real_model_cost_normalized_validation_final_fix24_live_20260519/per_example_records.jsonl
Cohere,cohere,command-r-plus-08-2024,MATH-500,HuggingFaceH4/MATH-500,COMPLETE_VALIDATED,300,300,87,300,29.0,92,300,30.666667,73,300,24.333333,84,300,28.0,76,300,25.333333,FTA,OUR,123,0.41,B,outputs/interpretable_core4x4_final_repair_plan_20260717T180003Z/canonical_cell_views/cohere_math500.jsonl
Cohere,cohere,command-r-plus-08-2024,GPQA-MCQ,gpqa_diamond,COMPLETE_VALIDATED,198,198,68,198,34.343434,72,198,36.363636,74,198,37.373737,69,198,34.848485,77,198,38.888889,external_tale_prompt_budgeting,EXT,103,0.520202,B,outputs/cohere_gpqa_complete198_sanitized_view_20260705/per_example_records.sanitized.jsonl
Cohere,cohere,command-r-plus-08-2024,StrategyQA,ChilleD/StrategyQA,COMPLETE_VALIDATED,100,100,78,100,78.0,76,100,76.0,69,100,69.0,77,100,77.0,83,100,83.0,external_tale_prompt_budgeting,EXT,87,0.87,B,outputs/interpretable_cross_model_completion_batch2_20260716T225834Z/cells/cohere__command-r-plus-08-2024__StrategyQA/cohere_real_model_cost_normalized_validation_batch2_cohere_ChilleD_StrategyQA_20260717T104624Z/per_example_records.jsonl
Azure,azure_openai,gpt-4.1-mini,GSM8K,openai/gsm8k,COMPLETE_VALIDATED,300,300,276,300,92.0,260,300,86.666667,269,300,89.666667,246,300,82.0,204,300,68.0,direct_reserve_semantic_frontier_v2,OUR,278,0.926667,A,outputs/interpretable_core4x4_final_repair_plan_20260717T180003Z/canonical_cell_views/azure_gsm8k.jsonl
Azure,azure_openai,gpt-4.1-mini,MATH-500,HuggingFaceH4/MATH-500,COMPLETE_VALIDATED,300,300,167,300,55.666667,143,300,47.666667,142,300,47.333333,161,300,53.666667,112,300,37.333333,direct_reserve_semantic_frontier_v2,OUR,183,0.61,B,outputs/interpretable_core4x4_final_repair_plan_20260717T180003Z/canonical_cell_views/azure_math500.jsonl
Azure,azure_openai,gpt-4.1-mini,GPQA-MCQ,gpqa_diamond,COMPLETE_VALIDATED_OFFLINE_FTA,198,198,103,198,52.020202,102,198,51.515152,105,198,53.030303,104,198,52.525253,94,198,47.474747,external_l1_max,EXT,126,0.636364,B,outputs/interpretable_gpqa_final_completion_20260717T141507Z/azure/cohere_real_model_cost_normalized_validation_azure_gpqa_full198_20260717T141507Z/per_example_records.jsonl
Azure,azure_openai,gpt-4.1-mini,StrategyQA,ChilleD/StrategyQA,COMPLETE_VALIDATED,100,100,70,100,70.0,72,100,72.0,72,100,72.0,76,100,76.0,74,100,74.0,external_s1_budget_forcing,EXT,76,0.76,B,outputs/interpretable_cross_model_completion_batch2_20260716T225834Z/cells/azure_openai__gpt-4_1-mini__StrategyQA/cohere_real_model_cost_normalized_validation_batch2_azure_openai_ChilleD_StrategyQA_20260717T103027Z/per_example_records.jsonl
Vertex,vertex_gemini,gemini-2.5-flash,GSM8K,openai/gsm8k,COMPLETE_VALIDATED,300,300,279,300,93.0,272,300,90.666667,262,300,87.333333,244,300,81.333333,255,300,85.0,direct_reserve_semantic_frontier_v2,OUR,282,0.94,A,outputs/vertex_gemini_gsm8k_full300_20260705/cohere_real_model_cost_normalized_validation_vertex_gemini_gsm8k_full300_20260705/per_example_records.jsonl
Vertex,vertex_gemini,gemini-2.5-flash,MATH-500,HuggingFaceH4/MATH-500,COMPLETE_VALIDATED,300,300,217,300,72.333333,228,300,76.0,220,300,73.333333,210,300,70.0,223,300,74.333333,FTA,OUR,226,0.753333,B,outputs/vertex_gemini_math500_full300_sanitized_view_20260705/per_example_records.sanitized.jsonl
Vertex,vertex_gemini,gemini-2.5-flash,GPQA-MCQ,gpqa_diamond,COMPLETE_VALIDATED,198,198,113,198,57.070707,125,198,63.131313,106,198,53.535354,108,198,54.545455,110,198,55.555556,FTA,OUR,126,0.636364,B,outputs/vertex_gemini_gpqa_full198_sanitized_view_20260705/per_example_records.sanitized.jsonl
Vertex,vertex_gemini,gemini-2.5-flash,StrategyQA,ChilleD/StrategyQA,COMPLETE_VALIDATED,100,100,84,100,84.0,84,100,84.0,82,100,82.0,83,100,83.0,84,100,84.0,FTA|direct_reserve_semantic_frontier_v2|external_tale_prompt_budgeting,OUR,86,0.86,B,outputs/interpretable_cross_model_completion_batch2_20260716T225834Z/cells/vertex_gemini__gemini-2_5-flash__StrategyQA/cohere_real_model_cost_normalized_validation_batch2_vertex_gemini_ChilleD_StrategyQA_20260717T112219Z/per_example_records.jsonl
Fireworks,fireworks,accounts/fireworks/models/deepseek-v4-pro,GSM8K,openai/gsm8k,COMPLETE_VALIDATED,300,300,223,300,74.333333,224,300,74.666667,210,300,70.0,160,300,53.333333,191,300,63.666667,FTA,OUR,256,0.853333,B,outputs/interpretable_cross_model_completion_batch2_20260716T225834Z/cells/fireworks__accounts_fireworks_models_deepseek-v4-pro__openai_gsm8k/cohere_real_model_cost_normalized_validation_batch2_fireworks_openai_gsm8k_20260717T062958Z/per_example_records.jsonl.deduped.jsonl
Fireworks,fireworks,accounts/fireworks/models/deepseek-v4-pro,MATH-500,HuggingFaceH4/MATH-500,COMPLETE_VALIDATED,300,300,100,300,33.333333,117,300,39.0,105,300,35.0,94,300,31.333333,114,300,38.0,FTA,OUR,152,0.506667,B,outputs/interpretable_cross_model_completion_batch2_20260716T225834Z/cells/fireworks__accounts_fireworks_models_deepseek-v4-pro__MATH-500/cohere_real_model_cost_normalized_validation_batch2_fireworks_HuggingFaceH4_MATH-500_20260717T025316Z/per_example_records.jsonl.deduped.jsonl
Fireworks,fireworks,accounts/fireworks/models/deepseek-v4-pro,StrategyQA,ChilleD/StrategyQA,COMPLETE_VALIDATED,100,100,81,100,81.0,79,100,79.0,80,100,80.0,80,100,80.0,80,100,80.0,direct_reserve_semantic_frontier_v2,OUR,88,0.88,B,outputs/interpretable_cross_model_completion_batch2_20260716T225834Z/cells/fireworks__accounts_fireworks_models_deepseek-v4-pro__StrategyQA/cohere_real_model_cost_normalized_validation_batch2_fireworks_ChilleD_StrategyQA_20260716T230301Z/per_example_records.jsonl.deduped.jsonl
Fireworks,fireworks,accounts/fireworks/models/deepseek-v4-pro,GPQA-MCQ,gpqa_diamond,BLOCKED_PROTOCOL_NONCONVERGENCE,198,0,,,,,,,,,,,,,,,,,BLOCKED,,,B,outputs/interpretable_fireworks_gpqa_blocked_cell_forensic_20260717T181636Z/
