provider,model,dataset,dataset_label,example_id,gold_answer,frontier_answer,fta_answer,l1_answer,s1_answer,tale_answer,frontier_correct,fta_correct,l1_correct,s1_correct,tale_correct,external3_correct,pooled4_correct,gold_in_frontier_tree,fta_policy_applied,fix2_applied,fix4_applied,fix2_reason,fix4_reason,source_files,fta_change_type
cohere,command-r-plus-08-2024,openai/gsm8k,GSM8K,openai_gsm8k_train_1249,135,180,135,180,135,135,0,1,0,1,1,1,0,0,fix2,True,False,low_depth_external_fallback,fix2_already_applied,outputs/final_fix24_all_external_validation_20260519_20260520T000902Z/runner_output/cohere_real_model_cost_normalized_validation_final_fix24_live_20260519/per_example_records.jsonl,rescue
cohere,command-r-plus-08-2024,openai/gsm8k,GSM8K,openai_gsm8k_train_1340,21,24,21,21,21,21,0,1,1,1,1,1,1,1,fix2,True,False,low_depth_external_fallback,fix2_already_applied,outputs/final_fix24_all_external_validation_20260519_20260520T000902Z/runner_output/cohere_real_model_cost_normalized_validation_final_fix24_live_20260519/per_example_records.jsonl,rescue
cohere,command-r-plus-08-2024,openai/gsm8k,GSM8K,openai_gsm8k_train_1455,20,26,20,20,20,25.93,0,1,1,1,0,1,1,1,fix2,True,False,low_depth_external_fallback,fix2_already_applied,outputs/final_fix24_all_external_validation_20260519_20260520T000902Z/runner_output/cohere_real_model_cost_normalized_validation_final_fix24_live_20260519/per_example_records.jsonl,rescue
cohere,command-r-plus-08-2024,openai/gsm8k,GSM8K,openai_gsm8k_train_1470,3,4,2.58,3,2.5833,2.58,0,0,1,0,0,0,0,1,fix2,True,False,low_depth_external_fallback,fix2_already_applied,outputs/final_fix24_all_external_validation_20260519_20260520T000902Z/runner_output/cohere_real_model_cost_normalized_validation_final_fix24_live_20260519/per_example_records.jsonl,neutral/wrong-to-wrong
cohere,command-r-plus-08-2024,openai/gsm8k,GSM8K,openai_gsm8k_train_1560,6,12,6,6,6,6,0,1,1,1,1,1,1,1,fix2,True,False,low_depth_external_fallback,fix2_already_applied,outputs/final_fix24_all_external_validation_20260519_20260520T000902Z/runner_output/cohere_real_model_cost_normalized_validation_final_fix24_live_20260519/per_example_records.jsonl,rescue
cohere,command-r-plus-08-2024,openai/gsm8k,GSM8K,openai_gsm8k_train_1657,5400,3000,5400,5400,5400,5400,0,1,1,1,1,1,1,1,fix2,True,False,low_depth_external_fallback,fix2_already_applied,outputs/final_fix24_all_external_validation_20260519_20260520T000902Z/runner_output/cohere_real_model_cost_normalized_validation_final_fix24_live_20260519/per_example_records.jsonl,rescue
cohere,command-r-plus-08-2024,openai/gsm8k,GSM8K,openai_gsm8k_train_1776,94,0.3,30,104,100,30,0,0,0,0,0,0,0,0,fix2,True,False,low_depth_external_fallback,fix2_already_applied,outputs/final_fix24_all_external_validation_20260519_20260520T000902Z/runner_output/cohere_real_model_cost_normalized_validation_final_fix24_live_20260519/per_example_records.jsonl,neutral/wrong-to-wrong
cohere,command-r-plus-08-2024,openai/gsm8k,GSM8K,openai_gsm8k_train_1815,56,56,44,56,26,44,1,0,1,0,0,0,1,1,fix2,True,False,low_depth_external_fallback,fix2_already_applied,outputs/final_fix24_all_external_validation_20260519_20260520T000902Z/runner_output/cohere_real_model_cost_normalized_validation_final_fix24_live_20260519/per_example_records.jsonl,regression
cohere,command-r-plus-08-2024,openai/gsm8k,GSM8K,openai_gsm8k_train_1867,10,3,10,10,10,1.67,0,1,1,1,0,1,1,1,fix2,True,False,low_depth_external_fallback,fix2_already_applied,outputs/final_fix24_all_external_validation_20260519_20260520T000902Z/runner_output/cohere_real_model_cost_normalized_validation_final_fix24_live_20260519/per_example_records.jsonl,rescue
cohere,command-r-plus-08-2024,openai/gsm8k,GSM8K,openai_gsm8k_train_1915,88,80,84.2,84.2,84.2,84.2,0,0,0,0,0,0,0,0,fix2,True,False,low_depth_external_fallback,fix2_already_applied,outputs/final_fix24_all_external_validation_20260519_20260520T000902Z/runner_output/cohere_real_model_cost_normalized_validation_final_fix24_live_20260519/per_example_records.jsonl,neutral/wrong-to-wrong
cohere,command-r-plus-08-2024,openai/gsm8k,GSM8K,openai_gsm8k_train_1927,9400,6800,400,9000,11000,400,0,0,0,0,0,0,0,0,fix2,True,False,low_depth_external_fallback,fix2_already_applied,outputs/final_fix24_all_external_validation_20260519_20260520T000902Z/runner_output/cohere_real_model_cost_normalized_validation_final_fix24_live_20260519/per_example_records.jsonl,neutral/wrong-to-wrong
cohere,command-r-plus-08-2024,openai/gsm8k,GSM8K,openai_gsm8k_train_193,160,153.6,160,160,153.6,160,0,1,1,0,1,1,0,1,fix2,True,False,low_depth_external_fallback,fix2_already_applied,outputs/final_fix24_all_external_validation_20260519_20260520T000902Z/runner_output/cohere_real_model_cost_normalized_validation_final_fix24_live_20260519/per_example_records.jsonl,rescue
cohere,command-r-plus-08-2024,openai/gsm8k,GSM8K,openai_gsm8k_train_194,322,376,322,376,322,322,0,1,0,1,1,1,0,0,fix2,True,False,low_depth_external_fallback,fix2_already_applied,outputs/final_fix24_all_external_validation_20260519_20260520T000902Z/runner_output/cohere_real_model_cost_normalized_validation_final_fix24_live_20260519/per_example_records.jsonl,rescue
cohere,command-r-plus-08-2024,openai/gsm8k,GSM8K,openai_gsm8k_train_2067,475,2850,575,450,300,575,0,0,0,0,0,0,0,0,fix2,True,False,low_depth_external_fallback,fix2_already_applied,outputs/final_fix24_all_external_validation_20260519_20260520T000902Z/runner_output/cohere_real_model_cost_normalized_validation_final_fix24_live_20260519/per_example_records.jsonl,neutral/wrong-to-wrong
cohere,command-r-plus-08-2024,openai/gsm8k,GSM8K,openai_gsm8k_train_2183,65,83,75,69,74,75,0,0,0,0,0,0,0,0,fix2,True,False,low_depth_external_fallback,fix2_already_applied,outputs/final_fix24_all_external_validation_20260519_20260520T000902Z/runner_output/cohere_real_model_cost_normalized_validation_final_fix24_live_20260519/per_example_records.jsonl,neutral/wrong-to-wrong
