budget,method,family,comparability,status,mean_accuracy,mean_avg_actions,mean_coverage,rank
4,reasoning_beam2,internal_baseline,direct,runnable_direct,0.5499999999999999,3.375,1.0,1
4,external_l1_max,external_baseline,adapter_mode_a,runnable_direct,0.5,1.7750000000000001,1.0,2
4,external_tale_prompt_budgeting,external_baseline,adapter_mode_a,runnable_direct,0.5,1.7750000000000001,1.0,3
4,reasoning_greedy,internal_baseline,direct,runnable_direct,0.47500000000000003,2.05,1.0,4
4,adaptive_min_expand_2,earlier_repo_line,direct,runnable_direct,0.45,2.525,1.0,5
4,external_s1_budget_forcing,external_baseline,adapter_mode_a,runnable_direct,0.45,2.775,1.0,6
4,adaptive_min_expand_1,our_current_main,direct,runnable_direct,0.375,2.35,1.0,7
4,external_l1_exact,external_baseline,adapter_mode_a,runnable_direct,0.3499999999999999,2.25,1.0,8
4,self_consistency_3,internal_baseline,direct,runnable_direct,0.3499999999999999,4.0,1.0,9
4,verifier_guided_search,internal_baseline,direct,runnable_direct,0.17500000000000002,4.0,1.0,10
4,adaptive_min_expand_0,earlier_repo_line,direct,runnable_direct,0.10000000000000002,2.4250000000000003,1.0,11
4,program_of_thought,internal_baseline,direct,runnable_direct,0.016666666666666666,2.0,1.0,12
6,external_tale_prompt_budgeting,external_baseline,adapter_mode_a,runnable_direct,0.6,2.1166666666666667,1.0,1
6,adaptive_min_expand_2,earlier_repo_line,direct,runnable_direct,0.5833333333333334,3.9749999999999996,1.0,2
6,external_l1_max,external_baseline,adapter_mode_a,runnable_direct,0.5750000000000001,2.058333333333333,1.0,3
6,external_s1_budget_forcing,external_baseline,adapter_mode_a,runnable_direct,0.5333333333333333,3.3166666666666664,1.0,4
6,reasoning_greedy,internal_baseline,direct,runnable_direct,0.5,1.9749999999999999,1.0,5
6,self_consistency_3,internal_baseline,direct,runnable_direct,0.5,6.0,1.0,6
6,external_l1_exact,external_baseline,adapter_mode_a,runnable_direct,0.4583333333333333,2.0833333333333335,1.0,7
6,reasoning_beam2,internal_baseline,direct,runnable_direct,0.45,4.208333333333333,1.0,8
6,verifier_guided_search,internal_baseline,direct,runnable_direct,0.39999999999999997,6.0,1.0,9
6,adaptive_min_expand_1,our_current_main,direct,runnable_direct,0.35833333333333334,3.391666666666667,1.0,10
6,adaptive_min_expand_0,earlier_repo_line,direct,runnable_direct,0.3333333333333333,3.225,1.0,11
6,program_of_thought,internal_baseline,direct,runnable_direct,0.016666666666666666,2.0,1.0,12
8,self_consistency_3,internal_baseline,direct,runnable_direct,0.5916666666666667,7.783333333333334,1.0,1
8,reasoning_beam2,internal_baseline,direct,runnable_direct,0.5083333333333334,4.583333333333333,1.0,2
8,reasoning_greedy,internal_baseline,direct,runnable_direct,0.5,2.3666666666666667,1.0,3
8,external_tale_prompt_budgeting,external_baseline,adapter_mode_a,runnable_direct,0.49166666666666664,1.8583333333333334,1.0,4
8,external_l1_exact,external_baseline,adapter_mode_a,runnable_direct,0.4583333333333333,2.4166666666666665,1.0,5
8,external_s1_budget_forcing,external_baseline,adapter_mode_a,runnable_direct,0.3833333333333333,3.8000000000000003,1.0,6
8,adaptive_min_expand_2,earlier_repo_line,direct,runnable_direct,0.375,4.391666666666667,1.0,7
8,adaptive_min_expand_1,our_current_main,direct,runnable_direct,0.3333333333333333,4.416666666666667,1.0,8
8,external_l1_max,external_baseline,adapter_mode_a,runnable_direct,0.27499999999999997,1.95,1.0,9
8,adaptive_min_expand_0,earlier_repo_line,direct,runnable_direct,0.24166666666666667,3.9,1.0,10
8,verifier_guided_search,internal_baseline,direct,runnable_direct,0.2333333333333333,6.0,1.0,11
8,program_of_thought,internal_baseline,direct,runnable_direct,0.016666666666666666,2.0,1.0,12
