example_id,seed,budget,v1_override,near_direct_override,guard_applied,external_l1_max_correct,near_direct_correct,artifact_sensitive_helpful_case
openai_gsm8k_0,11,4,0,0,0,1,1,0
openai_gsm8k_0,11,6,0,0,0,1,1,0
openai_gsm8k_0,11,8,0,0,0,0,1,0
openai_gsm8k_0,23,4,0,0,0,1,1,0
openai_gsm8k_0,23,6,0,0,0,1,1,0
openai_gsm8k_0,23,8,0,0,0,1,1,0
openai_gsm8k_1,11,4,0,0,0,1,1,0
openai_gsm8k_1,11,6,0,0,0,0,1,0
openai_gsm8k_1,11,8,0,0,0,1,0,0
openai_gsm8k_1,23,4,0,0,0,1,0,0
openai_gsm8k_1,23,6,1,0,1,1,1,0
openai_gsm8k_1,23,8,0,0,0,1,1,0
openai_gsm8k_2,11,4,0,0,0,1,1,0
openai_gsm8k_2,11,6,0,0,0,0,0,0
openai_gsm8k_2,11,8,1,1,0,0,1,1
openai_gsm8k_2,23,4,0,0,0,0,1,0
openai_gsm8k_2,23,6,0,0,0,0,0,0
openai_gsm8k_2,23,8,0,0,0,1,1,0
openai_gsm8k_3,11,4,0,0,0,1,1,0
openai_gsm8k_3,11,6,0,0,0,0,0,0
openai_gsm8k_3,11,8,0,0,0,1,1,0
openai_gsm8k_3,23,4,0,0,0,1,1,0
openai_gsm8k_3,23,6,0,0,0,1,0,0
openai_gsm8k_3,23,8,1,0,1,1,1,0
openai_gsm8k_4,11,4,0,0,0,1,1,0
openai_gsm8k_4,11,6,0,0,0,1,1,0
openai_gsm8k_4,11,8,0,0,0,1,1,0
openai_gsm8k_4,23,4,0,0,0,1,1,0
openai_gsm8k_4,23,6,0,0,0,0,0,0
openai_gsm8k_4,23,8,0,0,0,0,0,0
