case_id,cohort,gold_normalized,baseline_correct,metadata_missing,gate_should_override,gate_reason,gate_abstain_reason,recommended_answer,recommended_normalized_group,recommended_source,counterfactual_matches_gold,outcome_tag
openai_gsm8k_1072,guardrail_both_correct,240,1,0,0,abstain_low_support,insufficient_histogram_support_for_tiebreak_group,,240,none,,unchanged_still_correct
openai_gsm8k_1073,guardrail_both_correct,2640,1,0,0,abstain_low_support,insufficient_histogram_support_for_tiebreak_group,,2640,none,,unchanged_still_correct
openai_gsm8k_1074,guardrail_both_correct,18,1,0,0,abstain_no_tiebreak,tiebreak_not_triggered,,,none,,unchanged_still_correct
openai_gsm8k_1075,guardrail_both_correct,48,1,0,0,abstain_stdout_aligned,pal_stdout_already_matches_tiebreak_group,,48,none,,unchanged_still_correct
openai_gsm8k_1076,guardrail_both_correct,14,1,0,0,abstain_no_tiebreak,tiebreak_not_triggered,,,none,,unchanged_still_correct
openai_gsm8k_1077,guardrail_both_correct,5,1,0,0,abstain_no_tiebreak,tiebreak_not_triggered,,,none,,unchanged_still_correct
openai_gsm8k_1078,guardrail_both_correct,87,1,0,0,abstain_no_tiebreak,tiebreak_not_triggered,,,none,,unchanged_still_correct
openai_gsm8k_1079,guardrail_both_correct,480,1,0,0,abstain_stdout_aligned,pal_stdout_already_matches_tiebreak_group,,480,none,,unchanged_still_correct
openai_gsm8k_1080,guardrail_both_correct,48,1,0,0,abstain_stdout_aligned,pal_stdout_already_matches_tiebreak_group,,48,none,,unchanged_still_correct
openai_gsm8k_1084,guardrail_both_correct,78,1,0,0,abstain_no_tiebreak,tiebreak_not_triggered,,,none,,unchanged_still_correct
openai_gsm8k_1086,guardrail_both_correct,320,1,0,0,abstain_no_tiebreak,tiebreak_not_triggered,,,none,,unchanged_still_correct
openai_gsm8k_1088,guardrail_both_correct,35,1,0,0,abstain_no_tiebreak,tiebreak_not_triggered,,,none,,unchanged_still_correct
openai_gsm8k_1089,guardrail_both_correct,50,1,0,0,abstain_no_tiebreak,tiebreak_not_triggered,,,none,,unchanged_still_correct
openai_gsm8k_1090,guardrail_both_correct,5,1,0,0,abstain_no_tiebreak,tiebreak_not_triggered,,,none,,unchanged_still_correct
openai_gsm8k_1091,guardrail_both_correct,160,1,0,0,abstain_no_tiebreak,tiebreak_not_triggered,,,none,,unchanged_still_correct
openai_gsm8k_1092,guardrail_both_correct,12,1,0,0,abstain_no_tiebreak,tiebreak_not_triggered,,,none,,unchanged_still_correct
openai_gsm8k_1093,guardrail_both_correct,168,1,0,0,abstain_no_tiebreak,tiebreak_not_triggered,,,none,,unchanged_still_correct
openai_gsm8k_1094,guardrail_both_correct,440,1,0,0,abstain_no_tiebreak,tiebreak_not_triggered,,,none,,unchanged_still_correct
openai_gsm8k_1096,guardrail_both_correct,2,1,0,0,abstain_no_tiebreak,tiebreak_not_triggered,,,none,,unchanged_still_correct
openai_gsm8k_1098,guardrail_both_correct,-10,1,0,0,abstain_no_tiebreak,tiebreak_not_triggered,,,none,,unchanged_still_correct
openai_gsm8k_1100,guardrail_both_correct,880,1,0,0,abstain_low_support,insufficient_histogram_support_for_tiebreak_group,,880,none,,unchanged_still_correct
openai_gsm8k_1103,guardrail_both_correct,12,1,0,0,abstain_no_tiebreak,tiebreak_not_triggered,,,none,,unchanged_still_correct
openai_gsm8k_1104,guardrail_both_correct,30,1,0,0,abstain_no_tiebreak,tiebreak_not_triggered,,,none,,unchanged_still_correct
openai_gsm8k_1105,guardrail_both_correct,147,1,0,0,abstain_no_tiebreak,tiebreak_not_triggered,,,none,,unchanged_still_correct
openai_gsm8k_1106,guardrail_pal_only_correct,188,1,0,0,abstain_stdout_aligned,pal_stdout_already_matches_tiebreak_group,,188,none,,unchanged_still_correct
openai_gsm8k_1107,guardrail_both_correct,120,1,0,0,abstain_no_tiebreak,tiebreak_not_triggered,,,none,,unchanged_still_correct
openai_gsm8k_1108,guardrail_both_correct,12,1,0,0,abstain_no_tiebreak,tiebreak_not_triggered,,,none,,unchanged_still_correct
openai_gsm8k_1109,guardrail_both_correct,23,1,0,0,abstain_stdout_aligned,pal_stdout_already_matches_tiebreak_group,,23,none,,unchanged_still_correct
openai_gsm8k_1110,guardrail_both_correct,40,1,0,0,abstain_no_tiebreak,tiebreak_not_triggered,,,none,,unchanged_still_correct
openai_gsm8k_1111,guardrail_both_correct,54,1,0,0,abstain_no_tiebreak,tiebreak_not_triggered,,,none,,unchanged_still_correct
