case_id,method,status,parsed_answer,gold_answer,exact_match,parsing_failure,api_error,method_execution_error,cap_error,error_message,logical_calls,metadata_present,expected_metadata_keys_present,response_path,metadata_path,no_gold_leakage_row,no_prediction_leakage_row
openai_gsm8k_1082,external_self_consistency_6_fair_v1,parsing_failure,,,0,1,0,0,0,,6,1,1,outputs/sc6_pal_external_baselines_10case_calibration_20260508T220037Z/responses/openai_gsm8k_1082_external_self_consistency_6_fair_v1.json,outputs/sc6_pal_external_baselines_10case_calibration_20260508T220037Z/metadata/openai_gsm8k_1082_external_self_consistency_6_fair_v1.json,1,1
openai_gsm8k_1082,external_pal_pot_fair_v1,success,42,,0,0,0,0,0,,1,1,1,outputs/sc6_pal_external_baselines_10case_calibration_20260508T220037Z/responses/openai_gsm8k_1082_external_pal_pot_fair_v1.json,outputs/sc6_pal_external_baselines_10case_calibration_20260508T220037Z/metadata/openai_gsm8k_1082_external_pal_pot_fair_v1.json,1,1
openai_gsm8k_1083,external_self_consistency_6_fair_v1,parsing_failure,,,0,1,0,0,0,,6,1,1,outputs/sc6_pal_external_baselines_10case_calibration_20260508T220037Z/responses/openai_gsm8k_1083_external_self_consistency_6_fair_v1.json,outputs/sc6_pal_external_baselines_10case_calibration_20260508T220037Z/metadata/openai_gsm8k_1083_external_self_consistency_6_fair_v1.json,1,1
openai_gsm8k_1083,external_pal_pot_fair_v1,success,42,,0,0,0,0,0,,1,1,1,outputs/sc6_pal_external_baselines_10case_calibration_20260508T220037Z/responses/openai_gsm8k_1083_external_pal_pot_fair_v1.json,outputs/sc6_pal_external_baselines_10case_calibration_20260508T220037Z/metadata/openai_gsm8k_1083_external_pal_pot_fair_v1.json,1,1
openai_gsm8k_1085,external_self_consistency_6_fair_v1,parsing_failure,,,0,1,0,0,0,,6,1,1,outputs/sc6_pal_external_baselines_10case_calibration_20260508T220037Z/responses/openai_gsm8k_1085_external_self_consistency_6_fair_v1.json,outputs/sc6_pal_external_baselines_10case_calibration_20260508T220037Z/metadata/openai_gsm8k_1085_external_self_consistency_6_fair_v1.json,1,1
openai_gsm8k_1085,external_pal_pot_fair_v1,success,42,,0,0,0,0,0,,1,1,1,outputs/sc6_pal_external_baselines_10case_calibration_20260508T220037Z/responses/openai_gsm8k_1085_external_pal_pot_fair_v1.json,outputs/sc6_pal_external_baselines_10case_calibration_20260508T220037Z/metadata/openai_gsm8k_1085_external_pal_pot_fair_v1.json,1,1
openai_gsm8k_1087,external_self_consistency_6_fair_v1,parsing_failure,,,0,1,0,0,0,,6,1,1,outputs/sc6_pal_external_baselines_10case_calibration_20260508T220037Z/responses/openai_gsm8k_1087_external_self_consistency_6_fair_v1.json,outputs/sc6_pal_external_baselines_10case_calibration_20260508T220037Z/metadata/openai_gsm8k_1087_external_self_consistency_6_fair_v1.json,1,1
openai_gsm8k_1087,external_pal_pot_fair_v1,success,42,,0,0,0,0,0,,1,1,1,outputs/sc6_pal_external_baselines_10case_calibration_20260508T220037Z/responses/openai_gsm8k_1087_external_pal_pot_fair_v1.json,outputs/sc6_pal_external_baselines_10case_calibration_20260508T220037Z/metadata/openai_gsm8k_1087_external_pal_pot_fair_v1.json,1,1
openai_gsm8k_1095,external_self_consistency_6_fair_v1,parsing_failure,,,0,1,0,0,0,,6,1,1,outputs/sc6_pal_external_baselines_10case_calibration_20260508T220037Z/responses/openai_gsm8k_1095_external_self_consistency_6_fair_v1.json,outputs/sc6_pal_external_baselines_10case_calibration_20260508T220037Z/metadata/openai_gsm8k_1095_external_self_consistency_6_fair_v1.json,1,1
openai_gsm8k_1095,external_pal_pot_fair_v1,success,42,,0,0,0,0,0,,1,1,1,outputs/sc6_pal_external_baselines_10case_calibration_20260508T220037Z/responses/openai_gsm8k_1095_external_pal_pot_fair_v1.json,outputs/sc6_pal_external_baselines_10case_calibration_20260508T220037Z/metadata/openai_gsm8k_1095_external_pal_pot_fair_v1.json,1,1
openai_gsm8k_1097,external_self_consistency_6_fair_v1,success,0,,0,0,0,0,0,,6,1,1,outputs/sc6_pal_external_baselines_10case_calibration_20260508T220037Z/responses/openai_gsm8k_1097_external_self_consistency_6_fair_v1.json,outputs/sc6_pal_external_baselines_10case_calibration_20260508T220037Z/metadata/openai_gsm8k_1097_external_self_consistency_6_fair_v1.json,1,1
openai_gsm8k_1097,external_pal_pot_fair_v1,success,42,,0,0,0,0,0,,1,1,1,outputs/sc6_pal_external_baselines_10case_calibration_20260508T220037Z/responses/openai_gsm8k_1097_external_pal_pot_fair_v1.json,outputs/sc6_pal_external_baselines_10case_calibration_20260508T220037Z/metadata/openai_gsm8k_1097_external_pal_pot_fair_v1.json,1,1
openai_gsm8k_1099,external_self_consistency_6_fair_v1,parsing_failure,,,0,1,0,0,0,,6,1,1,outputs/sc6_pal_external_baselines_10case_calibration_20260508T220037Z/responses/openai_gsm8k_1099_external_self_consistency_6_fair_v1.json,outputs/sc6_pal_external_baselines_10case_calibration_20260508T220037Z/metadata/openai_gsm8k_1099_external_self_consistency_6_fair_v1.json,1,1
openai_gsm8k_1099,external_pal_pot_fair_v1,success,42,,0,0,0,0,0,,1,1,1,outputs/sc6_pal_external_baselines_10case_calibration_20260508T220037Z/responses/openai_gsm8k_1099_external_pal_pot_fair_v1.json,outputs/sc6_pal_external_baselines_10case_calibration_20260508T220037Z/metadata/openai_gsm8k_1099_external_pal_pot_fair_v1.json,1,1
