case_id,method,gold_answer,parsed_answer,response_path,failure_type_guess,notes
openai_gsm8k_1083,external_s1_budget_forcing_faithful_v1,55,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_1/responses/openai_gsm8k_1083_external_s1_budget_forcing_faithful_v1.json,forced_continuation_artifact,s1_no_final_answer_detected=true
openai_gsm8k_1125,external_l1_max_fair_v1,2450,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_3/responses/openai_gsm8k_1125_external_l1_max_fair_v1.json,answer_extraction_bug,empty parsed answer from single-trajectory style baseline
openai_gsm8k_1125,external_self_consistency_4_fair_v1,2450,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_3/responses/openai_gsm8k_1125_external_self_consistency_4_fair_v1.json,multiple_numbers,self-consistency vote path produced empty parsed answer
openai_gsm8k_1125,external_s1_budget_forcing_faithful_v1,2450,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_3/responses/openai_gsm8k_1125_external_s1_budget_forcing_faithful_v1.json,forced_continuation_artifact,s1_no_final_answer_detected=true
openai_gsm8k_1125,external_tale_ep_prompt_budgeting_faithful_v1,2450,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_3/responses/openai_gsm8k_1125_external_tale_ep_prompt_budgeting_faithful_v1.json,answer_extraction_bug,empty parsed answer from single-trajectory style baseline
openai_gsm8k_1155,external_self_consistency_4_fair_v1,342,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_3/responses/openai_gsm8k_1155_external_self_consistency_4_fair_v1.json,multiple_numbers,self-consistency vote path produced empty parsed answer
openai_gsm8k_1155,external_s1_budget_forcing_faithful_v1,342,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_3/responses/openai_gsm8k_1155_external_s1_budget_forcing_faithful_v1.json,forced_continuation_artifact,s1_no_final_answer_detected=true
openai_gsm8k_1187,external_l1_max_fair_v1,8,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_4/responses/openai_gsm8k_1187_external_l1_max_fair_v1.json,answer_extraction_bug,empty parsed answer from single-trajectory style baseline
openai_gsm8k_1198,external_l1_max_fair_v1,2,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_4/responses/openai_gsm8k_1198_external_l1_max_fair_v1.json,answer_extraction_bug,empty parsed answer from single-trajectory style baseline
openai_gsm8k_1198,external_tale_ep_prompt_budgeting_faithful_v1,2,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_4/responses/openai_gsm8k_1198_external_tale_ep_prompt_budgeting_faithful_v1.json,answer_extraction_bug,empty parsed answer from single-trajectory style baseline
openai_gsm8k_1094,external_s1_budget_forcing_faithful_v1,440,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_7/responses/openai_gsm8k_1094_external_s1_budget_forcing_faithful_v1.json,forced_continuation_artifact,s1_no_final_answer_detected=true
openai_gsm8k_1081,external_l1_max_fair_v1,9360,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_8/responses/openai_gsm8k_1081_external_l1_max_fair_v1.json,answer_extraction_bug,empty parsed answer from single-trajectory style baseline
openai_gsm8k_1081,external_self_consistency_4_fair_v1,9360,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_8/responses/openai_gsm8k_1081_external_self_consistency_4_fair_v1.json,multiple_numbers,self-consistency vote path produced empty parsed answer
openai_gsm8k_1081,external_s1_budget_forcing_faithful_v1,9360,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_8/responses/openai_gsm8k_1081_external_s1_budget_forcing_faithful_v1.json,forced_continuation_artifact,s1_no_final_answer_detected=true
openai_gsm8k_1081,external_tale_ep_prompt_budgeting_faithful_v1,9360,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_8/responses/openai_gsm8k_1081_external_tale_ep_prompt_budgeting_faithful_v1.json,answer_extraction_bug,empty parsed answer from single-trajectory style baseline
openai_gsm8k_1115,external_l1_max_fair_v1,170,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_8/responses/openai_gsm8k_1115_external_l1_max_fair_v1.json,answer_extraction_bug,empty parsed answer from single-trajectory style baseline
openai_gsm8k_1115,external_self_consistency_4_fair_v1,170,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_8/responses/openai_gsm8k_1115_external_self_consistency_4_fair_v1.json,multiple_numbers,self-consistency vote path produced empty parsed answer
openai_gsm8k_1115,external_s1_budget_forcing_faithful_v1,170,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_8/responses/openai_gsm8k_1115_external_s1_budget_forcing_faithful_v1.json,forced_continuation_artifact,s1_no_final_answer_detected=true
openai_gsm8k_1115,external_tale_ep_prompt_budgeting_faithful_v1,170,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_8/responses/openai_gsm8k_1115_external_tale_ep_prompt_budgeting_faithful_v1.json,answer_extraction_bug,empty parsed answer from single-trajectory style baseline
openai_gsm8k_1131,external_l1_max_fair_v1,4,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_8/responses/openai_gsm8k_1131_external_l1_max_fair_v1.json,answer_extraction_bug,empty parsed answer from single-trajectory style baseline
openai_gsm8k_1131,external_self_consistency_4_fair_v1,4,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_8/responses/openai_gsm8k_1131_external_self_consistency_4_fair_v1.json,multiple_numbers,self-consistency vote path produced empty parsed answer
openai_gsm8k_1131,external_s1_budget_forcing_faithful_v1,4,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_8/responses/openai_gsm8k_1131_external_s1_budget_forcing_faithful_v1.json,forced_continuation_artifact,s1_no_final_answer_detected=true
openai_gsm8k_1144,external_s1_budget_forcing_faithful_v1,13,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_9/responses/openai_gsm8k_1144_external_s1_budget_forcing_faithful_v1.json,forced_continuation_artifact,s1_no_final_answer_detected=true
openai_gsm8k_1072,external_l1_max_fair_v1,240,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_10/responses/openai_gsm8k_1072_external_l1_max_fair_v1.json,answer_extraction_bug,empty parsed answer from single-trajectory style baseline
openai_gsm8k_1072,external_self_consistency_4_fair_v1,240,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_10/responses/openai_gsm8k_1072_external_self_consistency_4_fair_v1.json,multiple_numbers,self-consistency vote path produced empty parsed answer
openai_gsm8k_1072,external_s1_budget_forcing_faithful_v1,240,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_10/responses/openai_gsm8k_1072_external_s1_budget_forcing_faithful_v1.json,forced_continuation_artifact,s1_no_final_answer_detected=true
openai_gsm8k_1072,external_tale_ep_prompt_budgeting_faithful_v1,240,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_10/responses/openai_gsm8k_1072_external_tale_ep_prompt_budgeting_faithful_v1.json,answer_extraction_bug,empty parsed answer from single-trajectory style baseline
openai_gsm8k_1075,external_s1_budget_forcing_faithful_v1,48,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_10/responses/openai_gsm8k_1075_external_s1_budget_forcing_faithful_v1.json,forced_continuation_artifact,s1_no_final_answer_detected=true
openai_gsm8k_1086,external_tale_ep_prompt_budgeting_faithful_v1,320,,outputs/main_table_core4_baselines_50case_checkpoint_20260508T174557Z/slice_10/responses/openai_gsm8k_1086_external_tale_ep_prompt_budgeting_faithful_v1.json,answer_extraction_bug,empty parsed answer from single-trajectory style baseline
