path,size_bytes,size_mb
.gitignore,3497,0.0033
CONTRIBUTING.md,4917,0.0047
LICENSE,1074,0.0010
Makefile,1547,0.0015
QUICKSTART.md,1269,0.0012
README.md,2519,0.0024
TODO.md,1604,0.0015
archive/README.md,961,0.0009
archive/historical_scripts/run_final_manuscript_eval.sh,11253,0.0107
archive/historical_scripts/run_heavy_real_routing_eval.sh,2159,0.0021
configs/README.md,3189,0.0030
configs/anti_collapse_answer_group_refinement_bounded_eval_20260419.json,611,0.0006
configs/anti_collapse_answer_group_refinement_repeat_fine_min_tuning_pass_20260420_matched.json,803,0.0008
configs/best_route_adjacent_comparison_contract_v1.json,1130,0.0011
configs/best_route_official_import_v1.json,2500,0.0024
configs/branch_learning_corpus_schema_v1.json,2273,0.0022
configs/conformal_thinking_mode_a_v1.json,1057,0.0010
configs/dataset_experiment_readiness_bundles.json,967,0.0009
configs/diversity_needed_feasibility_v1.json,470,0.0004
configs/diversity_needed_gate_bounded_comparison_v1.json,735,0.0007
configs/early_answer_group_preservation_bounded_eval_20260419.json,484,0.0005
configs/external_baselines_registry.json,22919,0.0219
configs/external_reasoning_datasets_registry.json,6559,0.0063
configs/full_method_comparison_bundle_20260419.json,226,0.0002
configs/incumbent_challenger_commit_feasibility_20260419_v1.json,798,0.0008
configs/incumbent_challenger_commit_interaction_refinement_bounded_eval_20260419_v1.json,793,0.0008
configs/incumbent_challenger_commit_validation_20260419_v1.json,831,0.0008
configs/incumbent_challenger_metalevel_bounded_eval_20260419_v1.json,939,0.0009
configs/incumbent_challenger_near_tie_single_point_refinement_20260419_v1.json,648,0.0006
configs/incumbent_challenger_refinement_pass_20260419_v1.json,1018,0.0010
configs/incumbent_challenger_selector_refinement_bounded_eval_20260419_v1.json,788,0.0008
configs/l1_inference_adapter_v1.json,2029,0.0019
configs/l1_official_full_adapter_v1.json,2204,0.0021
configs/learning_how_hard_to_think_mode_a_v1.json,2309,0.0022
configs/lets_verify_step_by_step_adjacent_comparison_contract_v1.json,4628,0.0044
configs/low_marginal_gain_family_cooldown_bounded_eval_20260420_v1.json,1104,0.0011
configs/oracle_label_generator_interface_contract_v1.json,1676,0.0016
configs/pilot_gsm8k.yaml,1142,0.0011
configs/qstar_style_adapter_contract_v1.json,2553,0.0024
configs/refreshed_comparative_failure_casebook_20260419_v1.json,730,0.0007
configs/rest_mcts_adjacent_comparison_contract_v1.json,570,0.0005
configs/rest_mcts_adjacent_comparison_contract_v2.json,3460,0.0033
configs/s1_budget_forcing_inference_only_v1.json,1682,0.0016
configs/s1_full_or_official_adapter_v1.json,3093,0.0029
configs/stop_vs_act_oracle_distilled_student_train_v1.json,1424,0.0014
configs/stop_vs_act_oracle_label_pilot_v1.json,1633,0.0016
configs/stop_vs_act_oracle_label_plan_v1.json,966,0.0009
configs/stop_vs_act_oracle_pilot_state_selection_v1.json,1188,0.0011
configs/stop_vs_act_oracle_selective_distillation_v1.json,2631,0.0025
configs/tale_official_adapter_v1.json,3607,0.0034
configs/tale_prompt_budgeting_v1.json,1904,0.0018
configs/training_free_difficulty_proxies_mode_a_v1.json,1994,0.0019
configs/tree_plv_adjacent_comparison_contract_v1.json,4914,0.0047
configs/value_aware_exact_heavy_validation_20260419.json,768,0.0007
configs/value_aware_target_regime_comparison_v2.json,668,0.0006
configs/when_solve_when_verify_adjacent_comparison_contract_v1.json,1485,0.0014
configs/when_solve_when_verify_official_import_v1.json,2646,0.0025
datasets/README.md,1237,0.0012
docs/ABSTENTION_AWARE_COST_SENSITIVE_PARTIAL_ORDER_STATUS_2026_04_17.md,3675,0.0035
docs/ABSTENTION_COST_SENSITIVE_PARTIAL_ORDER_CALIBRATION_SWEEP_STATUS_2026_04_17.md,4541,0.0043
docs/ALLOCATION_NOT_STOP_NOTE.md,2385,0.0023
docs/ALLOCATION_REGRET_TARGET_EXPERIMENT_STATUS_2026_04_17.md,7569,0.0072
docs/AMBIGUITY_CALIBRATION_AND_FALLBACK_STATUS.md,6404,0.0061
docs/ANONYMOUS_SUPPLEMENT_PREPARATION.md,2310,0.0022
docs/ANTI_COLLAPSE_ANSWER_GROUP_REFINEMENT_BOUNDED_STATUS_2026_04_19.md,4535,0.0043
docs/ANTI_COLLAPSE_ANSWER_GROUP_REFINEMENT_HARMED_FOCUSED_MIN_TUNING_STATUS_2026_04_19.md,5472,0.0052
docs/ANTI_COLLAPSE_REPEAT_EXPANSION_FINE_MIN_TUNING_PASS_2026_04_20.md,5330,0.0051
docs/APPENDIX_FIGURE_AUDIT.md,2239,0.0021
docs/APPENDIX_OUTPUT_LAYER_REPAIR_FIGURE_NOTE.md,1730,0.0016
docs/ARTIFACT_STATUS_AND_PLOT_POLICY_2026_04_20.md,4818,0.0046
docs/ASSET_AUDIT_AND_WORKING_SET_2026_04_17.md,4204,0.0040
docs/BASELINE_FINAL_STATUS_2026_04_18.md,3174,0.0030
docs/BASELINE_REPAIR_AND_STATUS_AUDIT_20260420T225833Z.md,11335,0.0108
docs/BEST_ROUTE_CRASH_FIX_ATTEMPT_20260421T223801Z.md,5614,0.0054
docs/BEST_ROUTE_FULL_INTEGRATION_ATTEMPT_20260421T215550Z.md,7560,0.0072
docs/BEST_ROUTE_FULL_INTEGRATION_ATTEMPT_20260421T221721Z.md,6037,0.0058
docs/BEST_ROUTE_IMPORT_PACKAGE_SCHEMA_AUDIT_2026_04_21.md,640,0.0006
docs/BEST_ROUTE_IMPORT_PACKAGE_TEMPLATES.md,2773,0.0026
docs/BEST_ROUTE_INTEGRATION_STATUS_20260421T045518Z.md,1685,0.0016
docs/BEST_ROUTE_RUNTIME_STABILIZATION_PASS_20260422T020000Z.md,3046,0.0029
docs/BEST_ROUTE_SEGFAULT_FIX_20260421T235925Z.md,6027,0.0057
docs/BEST_ROUTE_STRENGTHENING_PASS_2026_04_21.md,4421,0.0042
docs/BOUNDED_REAL_MODEL_CONFIRMATION_PACKAGE_20260423T235959Z.md,3973,0.0038
docs/BRANCH_OBSERVABILITY_INSTRUMENTATION_STATUS_2026_04_18.md,4466,0.0043
docs/BRANCH_SCORER_STATUS.md,1137,0.0011
docs/BRANCH_VALUE_UNCERTAINTY_CANONICAL_REBUILD_EXECUTION_2026_04_17.md,4003,0.0038
docs/BRANCH_VALUE_UNCERTAINTY_CANONICAL_REGIME_RECOVERY_STATUS_2026_04_17.md,5140,0.0049
docs/BRANCH_VALUE_UNCERTAINTY_CANONICAL_REPLAY_STATUS_2026_04_17.md,4167,0.0040
docs/BRANCH_VALUE_UNCERTAINTY_DERIVED_DEFER_BOUNDED_PASS_2026_04_18.md,5742,0.0055
docs/BRANCH_VALUE_UNCERTAINTY_STRICT_VALIDATION_STATUS_2026_04_18.md,6045,0.0058
docs/BRANCH_VALUE_UNCERTAINTY_SUPPORT_SIZE_ROBUSTNESS_STATUS_2026_04_17.md,5429,0.0052
docs/BREADTH_DATASET_EVAL_AND_PUBLICATION_UPDATE_20260422T151500Z.md,3164,0.0030
docs/BROADER_STRICT_PHASED_DEFAULT_DECISION_EVAL_20260421T023506Z.md,4185,0.0040
docs/BROAD_DIVERSITY_AGGREGATION_COHERE_GEMINI_CONFIRMATION_2026_04_18.md,4258,0.0041
docs/BROAD_DIVERSITY_AGGREGATION_CONFIRMATION_STATUS_2026_04_18.md,3468,0.0033
docs/BROAD_DIVERSITY_AGGREGATION_METHOD_STATUS_2026_04_18.md,3725,0.0036
docs/BROAD_DIVERSITY_AGGREGATION_REAL_MODEL_CONFIRMATION_2026_04_18.md,5290,0.0050
docs/BRUTEFORCE_BRANCH_ALLOCATION_LEARNING.md,3482,0.0033
docs/BRUTEFORCE_BRANCH_LABEL_GENERATOR.md,4633,0.0044
docs/BRUTEFORCE_LABEL_DATA_STATUS.md,5051,0.0048
docs/BRUTEFORCE_LABEL_SCALING_STATUS.md,5699,0.0054
docs/BUDGET_AWARE_FAMILY_CAP_EVAL_20260421T162842Z.md,3348,0.0032
docs/CANONICAL_BRANCH_LEARNING_INTERVENTION_PASS_2026_04_16.md,3497,0.0033
docs/CANONICAL_BRANCH_LEARNING_PASS_2026_04_16.md,3270,0.0031
docs/CANONICAL_EXACT_PROMOTED_NEAR_BOUNDARY_SUPPORT_PASS_2026_04_16.md,11549,0.0110
docs/CANONICAL_EXACT_PROMOTED_NEAR_BOUNDARY_SUPPORT_PASS_2026_04_16_V4.md,17321,0.0165
docs/CANONICAL_EXPERIMENT_STACK.md,1597,0.0015
docs/CANONICAL_EXTERNAL_BASELINE_CLOSURE_20260424T000020Z.md,765,0.0007
docs/CANONICAL_EXTERNAL_BASELINE_FAIRNESS_CHECKLIST_20260423T021422Z.md,2009,0.0019
docs/CANONICAL_EXTERNAL_BASELINE_PAPER_READINESS_DECISION_2026_04_22.md,2901,0.0028
docs/CANONICAL_EXTERNAL_SUPERVISION_PRM800K_BOUNDARY_SENSITIVE_EVALUATION_PASS_2026_04_16.md,6423,0.0061
docs/CANONICAL_EXTERNAL_SUPERVISION_PRM800K_BUDGET_AWARE_COMPARATOR_PASS_2026_04_16.md,7001,0.0067
docs/CANONICAL_EXTERNAL_SUPERVISION_PRM800K_BUDGET_CONDITIONED_COMPARATOR_SEMANTICS_PASS_2026_04_16.md,7033,0.0067
docs/CANONICAL_EXTERNAL_SUPERVISION_PRM800K_COMPARATOR_BOUNDARY_PASS_2026_04_16.md,5104,0.0049
docs/CANONICAL_EXTERNAL_SUPERVISION_PRM800K_COMPARATOR_BOUNDARY_RECOVERY_EXECUTION_PASS_2026_04_16.md,12198,0.0116
docs/CANONICAL_EXTERNAL_SUPERVISION_PRM800K_EXACT_PROMOTED_COVERAGE_PASS_2026_04_16.md,9586,0.0091
docs/CANONICAL_EXTERNAL_SUPERVISION_PRM800K_HARD_SLICE_COVERAGE_PASS_2026_04_16.md,10525,0.0100
docs/CANONICAL_EXTERNAL_SUPERVISION_PRM800K_LOW_BUDGET_EXACT_PROMOTED_SUPPORT_EXPANSION_PASS_2026_04_16.md,10196,0.0097
docs/CANONICAL_EXTERNAL_SUPERVISION_PRM800K_PASS_2026_04_16.md,6069,0.0058
docs/CANONICAL_EXTERNAL_SUPERVISION_PRM800K_REPAIR_PASS_2026_04_16.md,6863,0.0065
docs/CANONICAL_EXTERNAL_SUPERVISION_PRM800K_ROBUSTNESS_PASS_2026_04_16.md,8357,0.0080
docs/CANONICAL_EXTERNAL_SUPERVISION_PRM800K_TRANSFER_ALIGNMENT_PASS_2026_04_16.md,5130,0.0049
docs/CANONICAL_EXTERNAL_SUPERVISION_PRM800K_UNCERTAINTY_AWARE_PASS_2026_04_16.md,13272,0.0127
docs/CANONICAL_EXTREME_LOW_BUDGET_BOUNDARY_SUPPORT_PASS_2026_04_16_V5.md,13121,0.0125
docs/CANONICAL_FULL_METHOD_RANKING_20260421T212948Z.md,5184,0.0049
docs/CANONICAL_HUNDRED_STRICT_GATE1_CAP_K6_VS_BEST_FAILURE_STATISTICS_20260421T160120Z.md,12364,0.0118
docs/CANONICAL_INSTALL_AND_DEV.md,1142,0.0011
docs/CANONICAL_MANUSCRIPT_FACING_PACKAGE_POLICY_2026_04_22.md,3427,0.0033
docs/CANONICAL_MATCHED_BENCHMARK_AND_REGRET_20260423T180500Z.md,2112,0.0020
docs/CANONICAL_MATCHED_SURFACE_REGIME_BREAKDOWN_20260423T012859Z.md,1645,0.0016
docs/CANONICAL_OBJECTIVE_AND_FUNCTION_STACK_2026_04_18.md,5422,0.0052
docs/CANONICAL_PROTECTED_STRATA_ARTIFACT_RECOVERY_EXECUTION_PASS_2026_04_16.md,12531,0.0120
docs/CANONICAL_PROTECTED_STRATA_HOLDOUT_EXPANSION_PASS_2026_04_16.md,4924,0.0047
docs/CANONICAL_REAL_MODEL_VALIDATION_20260423T121500Z.md,2314,0.0022
docs/CANONICAL_REAL_MODEL_VALIDATION_20260423T235959Z.md,1775,0.0017
docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_PATCH_20260424T163922Z_cohere_11_4_openai_gsm8k.md,1917,0.0018
docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_PATCH_20260424T163922Z_cohere_11_6_openai_gsm8k.md,1917,0.0018
docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_cohere_11_4_HuggingFaceH4_MATH-500.md,1414,0.0013
docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_cohere_11_4_HuggingFaceH4_aime_2024.md,1416,0.0014
docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_cohere_11_4_openai_gsm8k.md,1894,0.0018
docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_cohere_11_6_HuggingFaceH4_MATH-500.md,1414,0.0013
docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_cohere_11_6_HuggingFaceH4_aime_2024.md,1416,0.0014
docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_cohere_11_6_openai_gsm8k.md,1894,0.0018
docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_cohere_11_8_HuggingFaceH4_MATH-500.md,1414,0.0013
docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_cohere_11_8_HuggingFaceH4_aime_2024.md,1416,0.0014
docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_cohere_11_8_openai_gsm8k.md,1894,0.0018
docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_cohere_23_4_HuggingFaceH4_MATH-500.md,1414,0.0013
