normalized_name,count,artifact_class,paths,recommendation
docs/BEST_ROUTE_FULL_INTEGRATION_ATTEMPT_<timestamp>.md,2,provenance_only,docs/BEST_ROUTE_FULL_INTEGRATION_ATTEMPT_20260421T215550Z.md;docs/BEST_ROUTE_FULL_INTEGRATION_ATTEMPT_20260421T221721Z.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/CANONICAL_REAL_MODEL_VALIDATION_<timestamp>.md,2,provenance_only,docs/CANONICAL_REAL_MODEL_VALIDATION_20260423T121500Z.md;docs/CANONICAL_REAL_MODEL_VALIDATION_20260423T235959Z.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/CANONICAL_REAL_MODEL_VALIDATION_<timestamp>cohere_11_4_HuggingFaceH4_MATH-500.md,2,provenance_only,docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_PATCH_20260424T163922Z_cohere_11_4_HuggingFaceH4_MATH-500.md;docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_cohere_11_4_HuggingFaceH4_MATH-500.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/CANONICAL_REAL_MODEL_VALIDATION_<timestamp>cohere_11_4_HuggingFaceH4_aime_2024.md,2,provenance_only,docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_PATCH_20260424T163922Z_cohere_11_4_HuggingFaceH4_aime_2024.md;docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_cohere_11_4_HuggingFaceH4_aime_2024.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/CANONICAL_REAL_MODEL_VALIDATION_<timestamp>cohere_11_4_openai_gsm8k.md,3,provenance_only,docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_PATCH_20260424T163922Z_cohere_11_4_openai_gsm8k.md;docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_cohere_11_4_openai_gsm8k.md;docs/CANONICAL_REAL_MODEL_VALIDATION_20260425T_WULVER_COHERE_LONG_cohere_11_4_openai_gsm8k.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/CANONICAL_REAL_MODEL_VALIDATION_<timestamp>cohere_11_6_HuggingFaceH4_MATH-500.md,2,provenance_only,docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_PATCH_20260424T163922Z_cohere_11_6_HuggingFaceH4_MATH-500.md;docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_cohere_11_6_HuggingFaceH4_MATH-500.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/CANONICAL_REAL_MODEL_VALIDATION_<timestamp>cohere_11_6_HuggingFaceH4_aime_2024.md,2,provenance_only,docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_PATCH_20260424T163922Z_cohere_11_6_HuggingFaceH4_aime_2024.md;docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_cohere_11_6_HuggingFaceH4_aime_2024.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/CANONICAL_REAL_MODEL_VALIDATION_<timestamp>cohere_11_6_openai_gsm8k.md,3,provenance_only,docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_PATCH_20260424T163922Z_cohere_11_6_openai_gsm8k.md;docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_cohere_11_6_openai_gsm8k.md;docs/CANONICAL_REAL_MODEL_VALIDATION_20260425T_WULVER_COHERE_LONG_cohere_11_6_openai_gsm8k.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/CANONICAL_REAL_MODEL_VALIDATION_<timestamp>cohere_11_8_HuggingFaceH4_MATH-500.md,2,provenance_only,docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_PATCH_20260424T163922Z_cohere_11_8_HuggingFaceH4_MATH-500.md;docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_cohere_11_8_HuggingFaceH4_MATH-500.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
docs/CANONICAL_REAL_MODEL_VALIDATION_<timestamp>cohere_11_8_HuggingFaceH4_aime_2024.md,2,provenance_only,docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_PATCH_20260424T163922Z_cohere_11_8_HuggingFaceH4_aime_2024.md;docs/CANONICAL_REAL_MODEL_VALIDATION_20260424T_COHERE_REAL_MAIN_cohere_11_8_HuggingFaceH4_aime_2024.md,consolidate interpretation in guide; retain evidence unless clearly duplicate debris
