example_id,original_bucket_membership,current_exact,recovery_status,current_output_source,casebook_pal_exact,casebook_external_exact,coverage_gold_absent_everywhere_detectable
openai_gsm8k_1003,external_only|gold_absent_everywhere_detectable,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,1,1
openai_gsm8k_1006,external_only|gold_absent_everywhere_detectable,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,1,1
openai_gsm8k_1013,both_wrong,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,0,0
openai_gsm8k_1019,external_only,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,1,0
openai_gsm8k_1021,both_wrong|gold_absent_everywhere_detectable,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,0,1
openai_gsm8k_1025,both_wrong|gold_absent_everywhere_detectable|previously_correct_regressed_validation_anchors|rate_ratio_anchors,1,corrected_now,offline_selector_isolated_exploration_log_anchor_validation_20260507/per_case.csv,0,0,1
openai_gsm8k_1027,external_only|gold_absent_everywhere_detectable|rate_ratio_anchors,1,corrected_now,offline_selector_isolated_exploration_log_anchor_validation_20260507/per_case.csv,0,1,1
openai_gsm8k_1029,external_only|gold_absent_everywhere_detectable,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,1,1
openai_gsm8k_1035,both_wrong|gold_absent_everywhere_detectable,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,0,1
openai_gsm8k_1039,both_wrong,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,0,0
openai_gsm8k_1045,external_only,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,1,0
openai_gsm8k_1069,both_wrong|gold_absent_everywhere_detectable,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,0,1
openai_gsm8k_773,external_only|gold_absent_everywhere_detectable,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,1,1
openai_gsm8k_778,both_wrong|gold_absent_everywhere_detectable|rate_ratio_anchors,1,corrected_now,offline_selector_isolated_exploration_log_anchor_validation_20260507/per_case.csv,0,0,1
openai_gsm8k_780,both_wrong|previously_correct_regressed_validation_anchors|rate_ratio_anchors,0,still_failing,offline_selector_isolated_exploration_log_anchor_validation_20260507/per_case.csv,0,0,0
openai_gsm8k_781,both_wrong|gold_absent_everywhere_detectable,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,0,1
openai_gsm8k_787,external_only,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,1,0
openai_gsm8k_794,both_wrong|gold_absent_everywhere_detectable,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,0,1
openai_gsm8k_812,both_wrong|gold_absent_everywhere_detectable|previously_correct_regressed_validation_anchors|rate_ratio_anchors,0,still_failing,offline_selector_isolated_exploration_log_anchor_validation_20260507/per_case.csv,0,0,1
openai_gsm8k_814,external_only|gold_absent_everywhere_detectable|rate_ratio_anchors,0,still_failing,offline_selector_isolated_exploration_log_anchor_validation_20260507/per_case.csv,0,1,1
openai_gsm8k_818,external_only,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,1,0
openai_gsm8k_819,both_wrong|gold_absent_everywhere_detectable|rate_ratio_anchors,1,corrected_now,offline_selector_isolated_exploration_log_anchor_validation_20260507/per_case.csv,0,0,1
openai_gsm8k_820,both_wrong,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,0,0
openai_gsm8k_829,external_only|gold_absent_everywhere_detectable,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,1,1
openai_gsm8k_832,both_wrong|gold_absent_everywhere_detectable,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,0,1
openai_gsm8k_841,external_only|gold_absent_everywhere_detectable,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,1,1
openai_gsm8k_851,external_only|gold_absent_everywhere_detectable,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,1,1
openai_gsm8k_864,external_only,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,1,0
openai_gsm8k_865,both_wrong|gold_absent_everywhere_detectable,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,0,1
openai_gsm8k_875,external_only|gold_absent_everywhere_detectable,0,still_failing,cohere_paired_pal_retry_vs_external_l1_300case_20260506T194114Z/paired_casebook.csv,0,1,1
