method,decision,decision_rationale,contract_surface,notes
l1_exact,main_table_fair_near_direct,Matched per-case contract; same dataset/budget/seed/extraction/accounting.,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
l1_max,main_table_fair_near_direct,Matched per-case contract; same dataset/budget/seed/extraction/accounting.,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
s1,main_table_fair_near_direct,Matched per-case contract; same dataset/budget/seed/extraction/accounting.,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
strict_f2,blocked,No baseline taxonomy mapping.,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
strict_f3,blocked,No baseline taxonomy mapping.,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
strict_gate1_cap_k6,blocked,No baseline taxonomy mapping.,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
tale,main_table_fair_near_direct,Matched per-case contract; same dataset/budget/seed/extraction/accounting.,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
zhai_cpo_mode_a,main_table_fair_near_direct,Matched per-case contract; same dataset/budget/seed/extraction/accounting.,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
dipa_mode_a,appendix_only,Training-free difficulty proxy lane remains adapter/query-level and not case-level matched-equivalent.,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
best_route_microsoft,adjacent_only,adjacent comparator; non-equivalent control space,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
cascade_routing,adjacent_only,adjacent comparator; non-equivalent control space,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
lets_verify_step_by_step,adjacent_only,adjacent comparator; non-equivalent control space,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
mob_majority_of_bests,adjacent_only,adjacent comparator; non-equivalent control space,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
openr,adjacent_only,adjacent comparator; non-equivalent control space,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
rest_mcts,adjacent_only,adjacent comparator; non-equivalent control space,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
tree_plv,adjacent_only,adjacent comparator; non-equivalent control space,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
when_solve_when_verify,adjacent_only,adjacent comparator; non-equivalent control space,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
adaptive_test_time_compute_allocation_training_free_proxies,blocked,blocked or discuss-only reference,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
best_arm_identification_fixed_budget,blocked,blocked or discuss-only reference,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
compute_optimal_tts,blocked,blocked or discuss-only reference,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
conformal_thinking,blocked,blocked or discuss-only reference,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
learning_how_hard_to_think,blocked,blocked or discuss-only reference,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
llm_tree_search_waterhorse,blocked,blocked or discuss-only reference,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
mcts_llm_community,blocked,blocked or discuss-only reference,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
pgts,blocked,blocked or discuss-only reference,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
qstar_deliberative_planning,blocked,direct-family framing reference only (no verified runnable official stack),canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
rational_metareasoning_llm,blocked,blocked or discuss-only reference,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
scaling_automated_process_verifiers,blocked,blocked or discuss-only reference,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
conformal_thinking_mode_a,blocked,unofficial or adapter-only lane,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
efficient_contextual_llm_cascades,blocked,adjacent comparator with weak current artifact evidence,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
learning_how_hard_to_think_mode_a,blocked,paper-inspired MODE A adapter only; no audited run artifacts yet,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
qstar_style_adapter,blocked,unofficial or adapter-only lane,canonical manuscript-facing matched surface,No cross-surface aggregation; matched dataset/budget/seed/extraction/accounting required.
