example_id,dataset,provider,model,budget,seed,method,branch_id,parent_id,depth,family_id,parsed_answer,answer_group,is_resolved,is_selected,is_expanded,branch_score,V,A,C,R,I,text_hash,metadata
trace_smoke_1,offline/smoke,offline,simulated,6,223,external_l1_max,l1_max_0,,1,,28,28,True,True,True,0.6699733879379834,,,,,,1067f0e6b692edfe,"{""source"": """", ""trace_event_count"": 1}"
trace_smoke_1,offline/smoke,offline,simulated,6,223,strict_f3_anti_collapse_default_v1,div_0,,2,direct_formula_family,,__unknown__,False,True,True,0.7092284167882519,,,,,,8faceebc6b2eaf90,"{""source"": """", ""trace_event_count"": 2}"
trace_smoke_1,offline/smoke,offline,simulated,6,223,strict_f3_anti_collapse_default_v1,div_1,,2,explicit_case_split_family,,__unknown__,False,True,True,0.7430873947739842,,,,,,8faceebc6b2eaf90,"{""source"": """", ""trace_event_count"": 2}"
trace_smoke_1,offline/smoke,offline,simulated,6,223,strict_f3_anti_collapse_default_v1,div_child_1_2,div_1,2,explicit_case_split_family,,__unknown__,False,True,True,0.712266306031959,,,,,,8faceebc6b2eaf90,"{""source"": """", ""trace_event_count"": 2}"
trace_smoke_1,offline/smoke,offline,simulated,6,223,strict_f3_anti_collapse_default_v1,div_child_2_3,div_1,0,explicit_case_split_family,,__unknown__,False,True,False,0.600139826941541,,,,,,,"{""source"": """", ""trace_event_count"": 0}"
trace_smoke_1,offline/smoke,offline,simulated,6,223,direct_reserve_frontier_gate_v1,div_0,,0,direct_formula_family,,__unknown__,False,False,False,0.6236719814540937,,,,,,,"{""source"": """", ""trace_event_count"": 0}"
trace_smoke_1,offline/smoke,offline,simulated,6,223,direct_reserve_frontier_gate_v1,div_1,,2,explicit_case_split_family,,__unknown__,False,False,True,0.7430873947739842,,,,,,8faceebc6b2eaf90,"{""source"": """", ""trace_event_count"": 2}"
trace_smoke_1,offline/smoke,offline,simulated,6,223,direct_reserve_frontier_gate_v1,div_child_1_2,div_1,0,explicit_case_split_family,,__unknown__,False,False,False,0.6911901280041313,,,,,,,"{""source"": """", ""trace_event_count"": 0}"
trace_smoke_1,offline/smoke,offline,simulated,6,223,direct_reserve_frontier_gate_v1,direct_reserve_0,,1,direct_reserve,28,28,True,True,True,1.0,,,,,,1067f0e6b692edfe,"{""source"": ""direct_reserve"", ""trace_event_count"": 1}"
trace_smoke_1,offline/smoke,offline,simulated,6,223,direct_reserve_frontier_gate_v1,direct_reserve_1,,1,direct_reserve,25,25,True,False,True,1.0,,,,,,b161ac788832af5a,"{""source"": ""direct_reserve"", ""trace_event_count"": 3}"
trace_smoke_2,offline/smoke,offline,simulated,6,223,external_l1_max,l1_max_0,,3,,10,10,True,True,True,0.7383505479995065,,,,,,b161ac788832af5a,"{""source"": """", ""trace_event_count"": 3}"
trace_smoke_2,offline/smoke,offline,simulated,6,223,strict_f3_anti_collapse_default_v1,div_0,,2,direct_formula_family,,__unknown__,False,False,True,0.7104659387965856,,,,,,8faceebc6b2eaf90,"{""source"": """", ""trace_event_count"": 3}"
trace_smoke_2,offline/smoke,offline,simulated,6,223,strict_f3_anti_collapse_default_v1,div_1,,1,explicit_case_split_family,10,10,True,True,True,0.8696089231785066,,,,,,1067f0e6b692edfe,"{""source"": """", ""trace_event_count"": 1}"
trace_smoke_2,offline/smoke,offline,simulated,6,223,strict_f3_anti_collapse_default_v1,div_child_2_2,div_0,2,direct_formula_family,,__unknown__,False,False,True,0.7176154596672047,,,,,,8faceebc6b2eaf90,"{""source"": """", ""trace_event_count"": 2}"
trace_smoke_2,offline/smoke,offline,simulated,6,223,strict_f3_anti_collapse_default_v1,div_child_3_3,div_child_2_2,0,direct_formula_family,,__unknown__,False,False,False,0.5162165251046212,,,,,,,"{""source"": """", ""trace_event_count"": 0}"
trace_smoke_2,offline/smoke,offline,simulated,6,223,direct_reserve_frontier_gate_v1,div_0,,0,direct_formula_family,,__unknown__,False,False,False,0.6236719814540937,,,,,,,"{""source"": """", ""trace_event_count"": 0}"
