example_id,pal_seed_ran,pal_budget_cost_observed,pal_code_present,pal_json_answer_present,pal_confidence_present,pal_parse_ok,pal_safety_ok,pal_exec_ok,pal_stdout_present,pal_answer_raw,pal_answer_normalized,pal_error_type,pal_error_message_sanitized,pal_candidate_strong,pal_overlay_triggered,pal_integration_fix_triggered,pal_exact
openai_gsm8k_0,1,1,0,1,1,1,1,1,1,53,53,,,1,1,0,1
openai_gsm8k_1,1,1,0,1,1,1,1,1,1,84,84,,,1,1,0,1
openai_gsm8k_10,1,1,0,1,1,1,1,1,1,100,100,,,1,1,0,1
openai_gsm8k_104,1,1,0,1,1,1,1,1,1,3,3,,,1,1,0,1
openai_gsm8k_106,1,1,0,1,1,1,1,1,1,79,79,,,1,1,0,1
openai_gsm8k_107,1,1,0,1,1,1,1,1,1,109,109,,,1,1,0,1
openai_gsm8k_11,1,1,0,1,1,1,1,1,1,2,2,,,1,1,0,1
openai_gsm8k_119,1,1,0,1,1,1,1,1,1,5600,5600,,,1,1,0,1
openai_gsm8k_12,1,1,0,1,1,1,1,1,1,5,5,,,1,1,0,1
openai_gsm8k_13,1,1,0,1,1,1,1,1,1,5,5,,,1,1,0,1
openai_gsm8k_14,1,1,0,1,1,1,1,1,1,72,72,,,1,1,0,1
openai_gsm8k_15,1,1,0,1,1,1,1,1,1,168,168,,,1,1,0,1
openai_gsm8k_158,1,1,0,1,1,1,1,1,1,128,128,,,1,1,0,1
openai_gsm8k_16,1,1,0,1,1,1,1,1,1,450,450,,,1,1,0,1
openai_gsm8k_17,1,1,0,0,1,0,0,0,0,,,ValueError,empty_code,0,0,0,0
openai_gsm8k_18,1,1,0,1,1,1,1,1,1,360,360,,,1,1,0,1
openai_gsm8k_19,1,1,0,1,1,1,1,1,1,28,28,,,1,1,0,1
openai_gsm8k_2,1,1,0,1,1,1,1,1,1,30,30,,,1,1,0,1
openai_gsm8k_22,1,1,0,0,1,0,0,0,0,,,ValueError,empty_code,0,0,0,0
openai_gsm8k_23,1,1,0,1,1,1,1,1,1,840,840,,,1,1,0,1
openai_gsm8k_27,1,1,0,1,1,1,1,1,1,156,156,,,1,1,0,1
openai_gsm8k_29,1,1,0,1,1,1,1,1,1,10,10,,,1,1,0,1
openai_gsm8k_3,1,1,0,1,1,1,1,1,1,5,5,,,1,1,0,1
openai_gsm8k_341,1,1,0,1,1,1,1,1,1,15,15,,,1,1,0,1
openai_gsm8k_342,1,1,0,1,1,1,1,1,1,300,300,,,1,1,0,1
openai_gsm8k_343,1,1,0,1,1,1,1,1,1,940,940,,,1,1,0,1
openai_gsm8k_344,1,1,0,1,1,1,1,1,1,4,4,,,1,1,0,1
openai_gsm8k_345,1,1,0,1,1,1,1,1,1,34,34,,,1,1,0,1
openai_gsm8k_346,1,1,0,1,1,1,1,1,1,25000,25000,,,1,1,0,1
openai_gsm8k_347,1,1,0,1,1,1,1,1,1,499.2,499.2,,,1,1,0,0
openai_gsm8k_348,1,1,0,1,1,1,1,1,1,688,688,,,1,1,0,0
openai_gsm8k_349,1,1,0,1,1,1,1,1,1,45,45,,,1,1,0,1
openai_gsm8k_35,1,1,0,1,1,1,1,1,1,18,18,,,1,1,0,0
openai_gsm8k_350,1,1,0,1,1,1,1,1,1,17000,17000,,,1,1,0,1
openai_gsm8k_351,1,1,0,1,1,1,1,1,1,1800,1800,,,1,1,0,1
openai_gsm8k_352,1,1,0,1,1,1,1,1,1,1170,1170,,,1,1,0,1
openai_gsm8k_353,1,1,0,1,1,1,1,1,1,15,15,,,1,1,0,1
openai_gsm8k_354,1,1,0,1,1,1,1,1,1,47.25,47.25,,,1,1,0,0
openai_gsm8k_355,1,1,0,1,1,1,1,1,1,25,25,,,1,1,0,1
openai_gsm8k_356,1,1,0,1,1,1,1,1,1,78,78,,,1,1,0,1
openai_gsm8k_357,1,1,0,1,1,1,1,1,1,6,6,,,1,1,0,1
openai_gsm8k_358,1,1,0,1,1,1,1,1,1,4,4,,,1,1,0,1
openai_gsm8k_359,1,1,0,1,1,1,0,0,0,,,SafetyError,disallowed_ast_node:AugAssign,0,0,0,1
openai_gsm8k_36,1,1,0,1,1,1,1,1,1,8,8,,,1,1,0,0
openai_gsm8k_360,1,1,0,1,1,1,1,1,1,12,12,,,1,1,0,1
openai_gsm8k_361,1,1,0,1,1,1,1,1,1,32,32,,,1,1,0,1
openai_gsm8k_362,1,1,0,1,1,1,1,0,0,,,NameError,name 'x' is not defined,0,0,0,0
openai_gsm8k_363,1,1,0,1,1,1,1,1,1,60,60,,,1,1,0,1
openai_gsm8k_364,1,1,0,1,1,1,1,1,1,145,145,,,1,1,0,1
openai_gsm8k_365,1,1,0,0,1,0,0,0,0,,,ValueError,empty_code,0,0,0,1
openai_gsm8k_366,1,1,0,1,1,1,1,1,1,720,720,,,1,1,0,1
openai_gsm8k_367,1,1,0,1,1,1,1,1,1,360,360,,,1,1,0,0
openai_gsm8k_368,1,1,0,1,1,1,1,1,1,15400,15400,,,1,1,0,1
openai_gsm8k_369,1,1,0,1,1,1,1,1,1,306,306,,,1,1,0,1
