dataset,seed,budget,example_id,method,runtime_method,is_correct,failure_type,absent_from_tree,present_not_selected,output_layer_mismatch,actions_used,expansions,verifications,budget_exhausted,exhaustive_probe_budget_truncated,exhaustive_probe_planned_shallow_nodes_unexpanded,hard_early_root_coverage_forced_min_depth,hard_early_coverage_transition_actions_used,gold_group_first_present_step,gold_group_ever_present,gold_group_present_final,first_correct_appearance_after_forced_depth2,first_correct_appearance_after_forced_depth3,strict_f3_failure_type_baseline
openai/gsm8k,11,4,openai_gsm8k_1,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,0,absent_from_tree,1,0,0,4,4,0,1,1,0,3,,,0,0,0,0,present_not_selected
openai/gsm8k,11,4,openai_gsm8k_1,strict_f3_exhaustive_depth2_probe,strict_f3_exhaustive_depth2_probe,0,output_layer_mismatch,0,0,1,4,4,0,0,1,0,2,,2,1,1,0,0,present_not_selected
openai/gsm8k,11,4,openai_gsm8k_1,strict_f3_exhaustive_depth3_probe,strict_f3_exhaustive_depth3_probe,0,output_layer_mismatch,0,0,1,4,4,0,0,1,0,3,,3,1,1,0,0,present_not_selected
openai/gsm8k,11,4,openai_gsm8k_101,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,0,output_layer_mismatch,0,0,1,4,4,0,0,1,0,3,,4,1,1,0,0,present_not_selected
openai/gsm8k,11,4,openai_gsm8k_101,strict_f3_exhaustive_depth2_probe,strict_f3_exhaustive_depth2_probe,0,output_layer_mismatch,0,0,1,2,2,0,0,0,0,2,2,2,1,1,0,0,present_not_selected
openai/gsm8k,11,4,openai_gsm8k_101,strict_f3_exhaustive_depth3_probe,strict_f3_exhaustive_depth3_probe,0,output_layer_mismatch,0,0,1,4,4,0,0,1,0,3,,3,1,1,0,0,present_not_selected
openai/gsm8k,11,4,openai_gsm8k_104,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,0,output_layer_mismatch,0,0,1,3,3,0,0,1,0,3,,3,1,1,0,0,absent_from_tree
openai/gsm8k,11,4,openai_gsm8k_104,strict_f3_exhaustive_depth2_probe,strict_f3_exhaustive_depth2_probe,0,absent_from_tree,1,0,0,4,4,0,0,1,0,2,,,0,0,0,0,absent_from_tree
openai/gsm8k,11,4,openai_gsm8k_104,strict_f3_exhaustive_depth3_probe,strict_f3_exhaustive_depth3_probe,0,output_layer_mismatch,0,0,1,4,4,0,0,1,0,3,,4,1,1,0,0,absent_from_tree
openai/gsm8k,11,4,openai_gsm8k_107,strict_f3,broad_diversity_aggregation_strong_v1_anti_collapse_answer_group_refinement_repeat_expansion_fine_incumbent_guard_tuned_v1_hard_early_root_depth3_coverage_forced_v1,0,output_layer_mismatch,0,0,1,4,4,0,0,1,0,3,,4,1,1,0,0,absent_from_tree
