priority_rank,example_id,in_deterministic_pool_seed_20260501
1,openai_gsm8k_41,true
2,openai_gsm8k_42,true
3,openai_gsm8k_43,true
4,openai_gsm8k_44,true
5,openai_gsm8k_45,true
6,openai_gsm8k_46,true
7,openai_gsm8k_47,true
8,openai_gsm8k_48,true
9,openai_gsm8k_49,true
10,openai_gsm8k_51,true
11,openai_gsm8k_52,true
12,openai_gsm8k_53,true
13,openai_gsm8k_54,true
14,openai_gsm8k_55,true
15,openai_gsm8k_56,true
16,openai_gsm8k_57,true
17,openai_gsm8k_58,true
18,openai_gsm8k_59,true
19,openai_gsm8k_60,true
20,openai_gsm8k_62,true
21,openai_gsm8k_63,true
22,openai_gsm8k_64,true
23,openai_gsm8k_65,true
24,openai_gsm8k_68,true
25,openai_gsm8k_69,true
26,openai_gsm8k_70,true
27,openai_gsm8k_71,true
28,openai_gsm8k_72,true
29,openai_gsm8k_73,true
30,openai_gsm8k_74,true
31,openai_gsm8k_77,true
32,openai_gsm8k_79,true
33,openai_gsm8k_80,true
34,openai_gsm8k_81,true
35,openai_gsm8k_82,true
36,openai_gsm8k_83,true
37,openai_gsm8k_84,true
38,openai_gsm8k_85,true
39,openai_gsm8k_86,true
40,openai_gsm8k_88,true
41,openai_gsm8k_89,true
42,openai_gsm8k_92,true
43,openai_gsm8k_93,true
44,openai_gsm8k_94,true
45,openai_gsm8k_95,true
46,openai_gsm8k_96,true
47,openai_gsm8k_97,true
48,openai_gsm8k_98,true
49,openai_gsm8k_99,true
50,openai_gsm8k_100,true
51,openai_gsm8k_101,true
52,openai_gsm8k_102,true
53,openai_gsm8k_103,true
54,openai_gsm8k_105,true
55,openai_gsm8k_108,true
56,openai_gsm8k_109,true
57,openai_gsm8k_110,true
58,openai_gsm8k_111,true
59,openai_gsm8k_112,true
60,openai_gsm8k_113,true
61,openai_gsm8k_114,true
62,openai_gsm8k_115,true
63,openai_gsm8k_116,true
64,openai_gsm8k_117,true
65,openai_gsm8k_118,true
66,openai_gsm8k_120,true
67,openai_gsm8k_121,true
68,openai_gsm8k_122,true
69,openai_gsm8k_123,true
70,openai_gsm8k_124,true
71,openai_gsm8k_125,true
72,openai_gsm8k_126,true
73,openai_gsm8k_127,true
74,openai_gsm8k_128,true
75,openai_gsm8k_129,true
76,openai_gsm8k_130,true
77,openai_gsm8k_131,true
78,openai_gsm8k_132,true
79,openai_gsm8k_133,true
80,openai_gsm8k_134,true
81,openai_gsm8k_135,true
82,openai_gsm8k_136,true
83,openai_gsm8k_137,true
84,openai_gsm8k_138,true
85,openai_gsm8k_139,true
86,openai_gsm8k_140,true
87,openai_gsm8k_141,true
88,openai_gsm8k_142,true
89,openai_gsm8k_143,true
90,openai_gsm8k_144,true
91,openai_gsm8k_145,true
92,openai_gsm8k_146,true
93,openai_gsm8k_147,true
94,openai_gsm8k_148,true
95,openai_gsm8k_149,true
96,openai_gsm8k_150,true
97,openai_gsm8k_151,true
98,openai_gsm8k_152,true
99,openai_gsm8k_153,true
100,openai_gsm8k_154,true
101,openai_gsm8k_155,true
102,openai_gsm8k_156,true
103,openai_gsm8k_157,true
104,openai_gsm8k_159,true
105,openai_gsm8k_160,true
106,openai_gsm8k_161,true
107,openai_gsm8k_162,true
108,openai_gsm8k_163,true
109,openai_gsm8k_164,true
110,openai_gsm8k_165,true
111,openai_gsm8k_166,true
112,openai_gsm8k_167,true
113,openai_gsm8k_168,true
114,openai_gsm8k_169,true
115,openai_gsm8k_170,true
116,openai_gsm8k_171,true
117,openai_gsm8k_172,true
118,openai_gsm8k_173,true
119,openai_gsm8k_174,true
120,openai_gsm8k_175,true
121,openai_gsm8k_176,true
122,openai_gsm8k_177,true
123,openai_gsm8k_178,true
124,openai_gsm8k_179,true
125,openai_gsm8k_180,true
126,openai_gsm8k_181,true
127,openai_gsm8k_182,true
128,openai_gsm8k_183,true
129,openai_gsm8k_184,true
130,openai_gsm8k_185,true
131,openai_gsm8k_186,true
132,openai_gsm8k_187,true
133,openai_gsm8k_188,true
134,openai_gsm8k_189,true
135,openai_gsm8k_190,true
136,openai_gsm8k_191,true
137,openai_gsm8k_192,true
138,openai_gsm8k_193,true
139,openai_gsm8k_194,true
140,openai_gsm8k_195,true
141,openai_gsm8k_196,true
142,openai_gsm8k_197,true
143,openai_gsm8k_198,true
144,openai_gsm8k_199,true
145,openai_gsm8k_200,true
146,openai_gsm8k_201,true
147,openai_gsm8k_202,true
148,openai_gsm8k_203,true
149,openai_gsm8k_204,true
150,openai_gsm8k_205,true
151,openai_gsm8k_206,true
152,openai_gsm8k_207,true
153,openai_gsm8k_208,true
154,openai_gsm8k_209,true
155,openai_gsm8k_210,true
156,openai_gsm8k_211,true
157,openai_gsm8k_212,true
158,openai_gsm8k_213,true
159,openai_gsm8k_214,true
160,openai_gsm8k_215,true
161,openai_gsm8k_216,true
162,openai_gsm8k_217,true
163,openai_gsm8k_218,true
164,openai_gsm8k_219,true
165,openai_gsm8k_220,true
166,openai_gsm8k_221,true
167,openai_gsm8k_222,true
168,openai_gsm8k_223,true
169,openai_gsm8k_224,true
170,openai_gsm8k_225,true
171,openai_gsm8k_226,true
172,openai_gsm8k_227,true
173,openai_gsm8k_228,true
174,openai_gsm8k_229,true
175,openai_gsm8k_230,true
176,openai_gsm8k_231,true
177,openai_gsm8k_232,true
178,openai_gsm8k_233,true
179,openai_gsm8k_234,true
180,openai_gsm8k_235,true
181,openai_gsm8k_236,true
182,openai_gsm8k_237,true
183,openai_gsm8k_238,true
184,openai_gsm8k_239,true
185,openai_gsm8k_240,true
186,openai_gsm8k_241,true
187,openai_gsm8k_242,true
188,openai_gsm8k_243,true
189,openai_gsm8k_244,true
190,openai_gsm8k_245,true
191,openai_gsm8k_246,true
192,openai_gsm8k_247,true
193,openai_gsm8k_248,true
194,openai_gsm8k_249,true
195,openai_gsm8k_250,true
196,openai_gsm8k_251,true
197,openai_gsm8k_252,true
198,openai_gsm8k_253,true
199,openai_gsm8k_254,true
200,openai_gsm8k_255,true
201,openai_gsm8k_256,true
202,openai_gsm8k_257,true
203,openai_gsm8k_258,true
204,openai_gsm8k_259,true
205,openai_gsm8k_260,true
206,openai_gsm8k_261,true
207,openai_gsm8k_262,true
208,openai_gsm8k_263,true
209,openai_gsm8k_264,true
210,openai_gsm8k_265,true
211,openai_gsm8k_266,true
212,openai_gsm8k_267,true
213,openai_gsm8k_268,true
214,openai_gsm8k_269,true
215,openai_gsm8k_270,true
216,openai_gsm8k_271,true
217,openai_gsm8k_272,true
218,openai_gsm8k_273,true
219,openai_gsm8k_274,true
220,openai_gsm8k_275,true
221,openai_gsm8k_276,true
222,openai_gsm8k_280,true
223,openai_gsm8k_289,true
224,openai_gsm8k_297,true
225,openai_gsm8k_303,true
226,openai_gsm8k_310,true
227,openai_gsm8k_324,true
228,openai_gsm8k_337,true
229,openai_gsm8k_338,true
230,openai_gsm8k_339,true
231,openai_gsm8k_340,true
232,openai_gsm8k_341,true
233,openai_gsm8k_342,true
234,openai_gsm8k_343,true
235,openai_gsm8k_344,true
236,openai_gsm8k_345,true
237,openai_gsm8k_346,true
238,openai_gsm8k_347,true
239,openai_gsm8k_348,true
240,openai_gsm8k_349,true
241,openai_gsm8k_350,true
242,openai_gsm8k_351,true
243,openai_gsm8k_352,true
244,openai_gsm8k_353,true
245,openai_gsm8k_354,true
246,openai_gsm8k_355,true
247,openai_gsm8k_356,true
248,openai_gsm8k_357,true
249,openai_gsm8k_358,true
250,openai_gsm8k_359,true
251,openai_gsm8k_360,true
252,openai_gsm8k_361,true
253,openai_gsm8k_362,true
254,openai_gsm8k_363,true
255,openai_gsm8k_364,true
256,openai_gsm8k_365,true
257,openai_gsm8k_366,true
258,openai_gsm8k_367,true
259,openai_gsm8k_368,true
260,openai_gsm8k_369,true
261,openai_gsm8k_370,true
262,openai_gsm8k_371,true
263,openai_gsm8k_372,true
264,openai_gsm8k_373,true
265,openai_gsm8k_374,true
266,openai_gsm8k_375,true
267,openai_gsm8k_376,true
268,openai_gsm8k_377,true
269,openai_gsm8k_378,true
270,openai_gsm8k_379,true
271,openai_gsm8k_380,true
272,openai_gsm8k_381,true
273,openai_gsm8k_382,true
274,openai_gsm8k_383,true
275,openai_gsm8k_384,true
276,openai_gsm8k_385,true
277,openai_gsm8k_386,true
278,openai_gsm8k_387,true
279,openai_gsm8k_388,true
280,openai_gsm8k_389,true
281,openai_gsm8k_390,true
282,openai_gsm8k_391,true
283,openai_gsm8k_392,true
284,openai_gsm8k_393,true
285,openai_gsm8k_394,true
286,openai_gsm8k_395,true
287,openai_gsm8k_396,true
288,openai_gsm8k_397,true
289,openai_gsm8k_398,true
290,openai_gsm8k_399,true
291,openai_gsm8k_400,true
292,openai_gsm8k_401,true
293,openai_gsm8k_402,true
294,openai_gsm8k_403,true
295,openai_gsm8k_404,true
296,openai_gsm8k_405,true
297,openai_gsm8k_406,true
298,openai_gsm8k_407,true
299,openai_gsm8k_408,true
300,openai_gsm8k_409,true
301,openai_gsm8k_410,true
302,openai_gsm8k_411,true
303,openai_gsm8k_412,true
304,openai_gsm8k_413,true
305,openai_gsm8k_414,true
306,openai_gsm8k_415,true
307,openai_gsm8k_416,true
308,openai_gsm8k_417,true
309,openai_gsm8k_418,true
310,openai_gsm8k_419,true
311,openai_gsm8k_420,true
312,openai_gsm8k_421,true
313,openai_gsm8k_422,true
314,openai_gsm8k_423,true
315,openai_gsm8k_424,true
316,openai_gsm8k_425,true
317,openai_gsm8k_426,true
318,openai_gsm8k_427,true
319,openai_gsm8k_428,true
320,openai_gsm8k_429,true
321,openai_gsm8k_430,true
322,openai_gsm8k_431,true
323,openai_gsm8k_432,true
324,openai_gsm8k_433,true
325,openai_gsm8k_434,true
326,openai_gsm8k_435,true
327,openai_gsm8k_436,true
328,openai_gsm8k_437,true
329,openai_gsm8k_438,true
330,openai_gsm8k_439,true
331,openai_gsm8k_440,true
332,openai_gsm8k_441,true
333,openai_gsm8k_442,true
334,openai_gsm8k_443,true
335,openai_gsm8k_444,true
336,openai_gsm8k_445,true
337,openai_gsm8k_446,true
338,openai_gsm8k_447,true
339,openai_gsm8k_448,true
340,openai_gsm8k_449,true
341,openai_gsm8k_450,true
342,openai_gsm8k_451,true
343,openai_gsm8k_452,true
344,openai_gsm8k_453,true
345,openai_gsm8k_454,true
346,openai_gsm8k_455,true
347,openai_gsm8k_456,true
348,openai_gsm8k_457,true
349,openai_gsm8k_458,true
350,openai_gsm8k_459,true
351,openai_gsm8k_460,true
352,openai_gsm8k_461,true
353,openai_gsm8k_462,true
354,openai_gsm8k_463,true
355,openai_gsm8k_464,true
356,openai_gsm8k_465,true
357,openai_gsm8k_466,true
358,openai_gsm8k_467,true
359,openai_gsm8k_468,true
360,openai_gsm8k_469,true
361,openai_gsm8k_470,true
362,openai_gsm8k_471,true
363,openai_gsm8k_472,true
364,openai_gsm8k_473,true
365,openai_gsm8k_474,true
366,openai_gsm8k_475,true
367,openai_gsm8k_476,true
368,openai_gsm8k_477,true
369,openai_gsm8k_478,true
370,openai_gsm8k_479,true
371,openai_gsm8k_480,true
372,openai_gsm8k_481,true
373,openai_gsm8k_482,true
374,openai_gsm8k_483,true
375,openai_gsm8k_484,true
376,openai_gsm8k_485,true
377,openai_gsm8k_486,true
378,openai_gsm8k_487,true
379,openai_gsm8k_488,true
380,openai_gsm8k_489,true
381,openai_gsm8k_490,true
382,openai_gsm8k_491,true
383,openai_gsm8k_492,true
384,openai_gsm8k_493,true
385,openai_gsm8k_494,true
386,openai_gsm8k_495,true
387,openai_gsm8k_496,true
388,openai_gsm8k_497,true
389,openai_gsm8k_498,true
390,openai_gsm8k_499,true
391,openai_gsm8k_500,true
392,openai_gsm8k_501,true
393,openai_gsm8k_502,true
394,openai_gsm8k_503,true
395,openai_gsm8k_504,true
396,openai_gsm8k_505,true
397,openai_gsm8k_506,true
398,openai_gsm8k_507,true
399,openai_gsm8k_508,true
400,openai_gsm8k_509,true
401,openai_gsm8k_510,true
402,openai_gsm8k_511,true
403,openai_gsm8k_512,true
404,openai_gsm8k_513,true
405,openai_gsm8k_514,true
406,openai_gsm8k_515,true
407,openai_gsm8k_516,true
408,openai_gsm8k_517,true
409,openai_gsm8k_518,true
410,openai_gsm8k_519,true
411,openai_gsm8k_520,true
412,openai_gsm8k_521,true
413,openai_gsm8k_522,true
414,openai_gsm8k_523,true
415,openai_gsm8k_524,true
416,openai_gsm8k_525,true
417,openai_gsm8k_526,true
418,openai_gsm8k_527,true
419,openai_gsm8k_528,true
420,openai_gsm8k_529,true
421,openai_gsm8k_530,true
422,openai_gsm8k_531,true
423,openai_gsm8k_532,true
424,openai_gsm8k_533,true
425,openai_gsm8k_534,true
426,openai_gsm8k_535,true
427,openai_gsm8k_536,true
428,openai_gsm8k_537,true
429,openai_gsm8k_538,true
430,openai_gsm8k_539,true
431,openai_gsm8k_540,true
432,openai_gsm8k_541,true
433,openai_gsm8k_542,true
434,openai_gsm8k_543,true
435,openai_gsm8k_544,true
436,openai_gsm8k_545,true
437,openai_gsm8k_546,true
438,openai_gsm8k_547,true
439,openai_gsm8k_548,true
440,openai_gsm8k_549,true
441,openai_gsm8k_550,true
442,openai_gsm8k_551,true
443,openai_gsm8k_552,true
444,openai_gsm8k_553,true
445,openai_gsm8k_554,true
446,openai_gsm8k_555,true
447,openai_gsm8k_556,true
448,openai_gsm8k_557,true
449,openai_gsm8k_558,true
450,openai_gsm8k_559,true
451,openai_gsm8k_560,true
452,openai_gsm8k_561,true
453,openai_gsm8k_562,true
454,openai_gsm8k_563,true
455,openai_gsm8k_564,true
456,openai_gsm8k_565,true
457,openai_gsm8k_566,true
458,openai_gsm8k_567,true
459,openai_gsm8k_568,true
460,openai_gsm8k_569,true
461,openai_gsm8k_570,true
462,openai_gsm8k_571,true
463,openai_gsm8k_572,true
464,openai_gsm8k_573,true
465,openai_gsm8k_574,true
466,openai_gsm8k_575,true
467,openai_gsm8k_577,true
468,openai_gsm8k_578,true
469,openai_gsm8k_579,true
470,openai_gsm8k_580,true
471,openai_gsm8k_581,true
472,openai_gsm8k_582,true
473,openai_gsm8k_583,true
474,openai_gsm8k_584,true
475,openai_gsm8k_585,true
476,openai_gsm8k_586,true
477,openai_gsm8k_587,true
478,openai_gsm8k_588,true
479,openai_gsm8k_589,true
480,openai_gsm8k_590,true
481,openai_gsm8k_591,true
482,openai_gsm8k_592,true
483,openai_gsm8k_593,true
484,openai_gsm8k_594,true
485,openai_gsm8k_595,true
486,openai_gsm8k_596,true
487,openai_gsm8k_597,true
488,openai_gsm8k_598,true
489,openai_gsm8k_599,true
490,openai_gsm8k_600,true
491,openai_gsm8k_601,true
492,openai_gsm8k_602,true
493,openai_gsm8k_603,true
494,openai_gsm8k_604,true
495,openai_gsm8k_605,true
496,openai_gsm8k_606,true
497,openai_gsm8k_607,true
498,openai_gsm8k_608,true
499,openai_gsm8k_609,true
500,openai_gsm8k_610,true
501,openai_gsm8k_611,true
502,openai_gsm8k_612,true
