case_idx,example_id,seed,budget,method,stratum,answer_group,support,is_gold_group,is_selected_group
1,openai_gsm8k_12,23,4,strict_f3,absent_from_tree,58,1,0,0
1,openai_gsm8k_12,23,4,strict_f3,absent_from_tree,62,1,0,0
1,openai_gsm8k_12,23,4,external_l1_max,absent_from_tree,70,1,1,0
1,openai_gsm8k_12,23,4,direct_reserve_strong_v1,absent_from_tree,70,1,1,1
1,openai_gsm8k_12,23,4,direct_reserve_strong_plus_diverse_v1,absent_from_tree,100,1,0,1
1,openai_gsm8k_12,23,4,direct_reserve_strong_plus_diverse_v1,absent_from_tree,70,1,1,0
1,openai_gsm8k_12,23,4,direct_reserve_strong_plus_diverse_margin_gated_v1,absent_from_tree,100,1,0,0
1,openai_gsm8k_12,23,4,direct_reserve_strong_plus_diverse_margin_gated_v1,absent_from_tree,70,1,1,1
2,openai_gsm8k_10,23,4,strict_f3,absent_from_tree,39,2,1,0
2,openai_gsm8k_10,23,4,external_l1_max,absent_from_tree,39,1,1,0
2,openai_gsm8k_10,23,4,direct_reserve_strong_v1,absent_from_tree,39,1,1,1
2,openai_gsm8k_10,23,4,direct_reserve_strong_plus_diverse_v1,absent_from_tree,39,2,1,1
2,openai_gsm8k_10,23,4,direct_reserve_strong_plus_diverse_margin_gated_v1,absent_from_tree,39,2,1,1
3,openai_gsm8k_17,23,4,strict_f3,absent_from_tree,10,2,1,0
3,openai_gsm8k_17,23,4,external_l1_max,absent_from_tree,10,1,1,0
3,openai_gsm8k_17,23,4,direct_reserve_strong_v1,absent_from_tree,10,1,1,1
3,openai_gsm8k_17,23,4,direct_reserve_strong_plus_diverse_v1,absent_from_tree,10,2,1,1
3,openai_gsm8k_17,23,4,direct_reserve_strong_plus_diverse_margin_gated_v1,absent_from_tree,10,1,1,1
3,openai_gsm8k_17,23,4,direct_reserve_strong_plus_diverse_margin_gated_v1,absent_from_tree,13,1,0,0
4,openai_gsm8k_6,23,4,strict_f3,absent_from_tree,na,2,0,0
4,openai_gsm8k_6,23,4,strict_f3,absent_from_tree,32,1,1,0
4,openai_gsm8k_6,23,4,external_l1_max,absent_from_tree,21.5,1,0,0
4,openai_gsm8k_6,23,4,direct_reserve_strong_v1,absent_from_tree,32,1,1,1
4,openai_gsm8k_6,23,4,direct_reserve_strong_plus_diverse_v1,absent_from_tree,33,1,0,1
4,openai_gsm8k_6,23,4,direct_reserve_strong_plus_diverse_v1,absent_from_tree,54,1,0,0
4,openai_gsm8k_6,23,4,direct_reserve_strong_plus_diverse_margin_gated_v1,absent_from_tree,21.5,1,0,0
4,openai_gsm8k_6,23,4,direct_reserve_strong_plus_diverse_margin_gated_v1,absent_from_tree,36.5,1,0,1
5,openai_gsm8k_11,23,4,strict_f3,present_not_selected,100,2,1,0
5,openai_gsm8k_11,23,4,external_l1_max,present_not_selected,100,1,1,0
5,openai_gsm8k_11,23,4,direct_reserve_strong_v1,present_not_selected,100,1,1,1
5,openai_gsm8k_11,23,4,direct_reserve_strong_plus_diverse_v1,present_not_selected,100,2,1,1
5,openai_gsm8k_11,23,4,direct_reserve_strong_plus_diverse_margin_gated_v1,present_not_selected,100,2,1,1
6,openai_gsm8k_5,23,4,strict_f3,present_not_selected,210,1,0,0
6,openai_gsm8k_5,23,4,strict_f3,present_not_selected,280,1,1,0
6,openai_gsm8k_5,23,4,external_l1_max,present_not_selected,280,1,1,0
6,openai_gsm8k_5,23,4,direct_reserve_strong_v1,present_not_selected,180,1,0,1
6,openai_gsm8k_5,23,4,direct_reserve_strong_plus_diverse_v1,present_not_selected,280,1,1,1
6,openai_gsm8k_5,23,4,direct_reserve_strong_plus_diverse_v1,present_not_selected,420,1,0,0
6,openai_gsm8k_5,23,4,direct_reserve_strong_plus_diverse_margin_gated_v1,present_not_selected,280,1,1,1
6,openai_gsm8k_5,23,4,direct_reserve_strong_plus_diverse_margin_gated_v1,present_not_selected,420,1,0,0
7,openai_gsm8k_13,23,4,strict_f3,control_correct,10,2,0,0
7,openai_gsm8k_13,23,4,external_l1_max,control_correct,10,1,0,0
7,openai_gsm8k_13,23,4,direct_reserve_strong_v1,control_correct,10,1,0,1
7,openai_gsm8k_13,23,4,direct_reserve_strong_plus_diverse_v1,control_correct,-10,1,0,0
7,openai_gsm8k_13,23,4,direct_reserve_strong_plus_diverse_v1,control_correct,22,1,0,1
7,openai_gsm8k_13,23,4,direct_reserve_strong_plus_diverse_margin_gated_v1,control_correct,10,1,0,1
7,openai_gsm8k_13,23,4,direct_reserve_strong_plus_diverse_margin_gated_v1,control_correct,22,1,0,0
8,openai_gsm8k_14,23,4,strict_f3,control_correct,38,2,1,0
8,openai_gsm8k_14,23,4,external_l1_max,control_correct,18,1,0,0
8,openai_gsm8k_14,23,4,direct_reserve_strong_v1,control_correct,38,1,1,1
8,openai_gsm8k_14,23,4,direct_reserve_strong_plus_diverse_v1,control_correct,38,2,1,1
8,openai_gsm8k_14,23,4,direct_reserve_strong_plus_diverse_margin_gated_v1,control_correct,36,1,0,0
8,openai_gsm8k_14,23,4,direct_reserve_strong_plus_diverse_margin_gated_v1,control_correct,38,1,1,1
9,openai_gsm8k_15,23,4,strict_f3,control_correct,12,2,1,0
9,openai_gsm8k_15,23,4,external_l1_max,control_correct,12,1,1,0
9,openai_gsm8k_15,23,4,direct_reserve_strong_v1,control_correct,12,1,1,1
9,openai_gsm8k_15,23,4,direct_reserve_strong_plus_diverse_v1,control_correct,12,2,1,1
9,openai_gsm8k_15,23,4,direct_reserve_strong_plus_diverse_margin_gated_v1,control_correct,12,2,1,1
10,openai_gsm8k_4,23,4,strict_f3,control_correct,35,2,1,0
10,openai_gsm8k_4,23,4,external_l1_max,control_correct,35,1,1,0
10,openai_gsm8k_4,23,4,direct_reserve_strong_v1,control_correct,35,1,1,1
10,openai_gsm8k_4,23,4,direct_reserve_strong_plus_diverse_v1,control_correct,35,2,1,1
10,openai_gsm8k_4,23,4,direct_reserve_strong_plus_diverse_margin_gated_v1,control_correct,35,2,1,1
11,openai_gsm8k_2,23,4,strict_f3,absent_from_tree,350,1,0,0
11,openai_gsm8k_2,23,4,strict_f3,absent_from_tree,450,1,1,0
11,openai_gsm8k_2,23,4,external_l1_max,absent_from_tree,350,1,0,0
11,openai_gsm8k_2,23,4,direct_reserve_strong_v1,absent_from_tree,400,1,0,1
11,openai_gsm8k_2,23,4,direct_reserve_strong_plus_diverse_v1,absent_from_tree,450,1,1,1
11,openai_gsm8k_2,23,4,direct_reserve_strong_plus_diverse_v1,absent_from_tree,850,1,0,0
11,openai_gsm8k_2,23,4,direct_reserve_strong_plus_diverse_margin_gated_v1,absent_from_tree,1000,1,0,0
11,openai_gsm8k_2,23,4,direct_reserve_strong_plus_diverse_margin_gated_v1,absent_from_tree,400,1,0,1
12,openai_gsm8k_8,23,4,strict_f3,control_correct,3,1,0,0
12,openai_gsm8k_8,23,4,strict_f3,control_correct,9,1,1,0
12,openai_gsm8k_8,23,4,external_l1_max,control_correct,9,1,1,0
12,openai_gsm8k_8,23,4,direct_reserve_strong_v1,control_correct,6,1,0,1
12,openai_gsm8k_8,23,4,direct_reserve_strong_plus_diverse_v1,control_correct,9,2,1,1
12,openai_gsm8k_8,23,4,direct_reserve_strong_plus_diverse_margin_gated_v1,control_correct,9,2,1,1
