case_id,dataset,example_id,absent_from_our_tree,source_of_truth_field_used,json_our_contains_correct_answer,json_our_correct_answer_node_ids_count,json_provenance_our_correct_node_identity
HuggingFaceH4__MATH-500__HuggingFaceH4_MATH-500_21,HuggingFaceH4/MATH-500,HuggingFaceH4_MATH-500_21,True,comparison.our_contains_correct_answer,False,0,absent
HuggingFaceH4__MATH-500__HuggingFaceH4_MATH-500_23,HuggingFaceH4/MATH-500,HuggingFaceH4_MATH-500_23,True,comparison.our_contains_correct_answer,False,0,absent
HuggingFaceH4__MATH-500__HuggingFaceH4_MATH-500_29,HuggingFaceH4/MATH-500,HuggingFaceH4_MATH-500_29,True,comparison.our_contains_correct_answer,False,0,absent
HuggingFaceH4__MATH-500__HuggingFaceH4_MATH-500_30,HuggingFaceH4/MATH-500,HuggingFaceH4_MATH-500_30,False,comparison.our_contains_correct_answer,True,1,exact
HuggingFaceH4__MATH-500__HuggingFaceH4_MATH-500_34,HuggingFaceH4/MATH-500,HuggingFaceH4_MATH-500_34,True,comparison.our_contains_correct_answer,False,0,absent
HuggingFaceH4__aime_2024__HuggingFaceH4_aime_2024_11,HuggingFaceH4/aime_2024,HuggingFaceH4_aime_2024_11,True,comparison.our_contains_correct_answer,False,0,absent
olympiadbench__Hothan_OlympiadBench_13,olympiadbench,Hothan_OlympiadBench_13,False,comparison.our_contains_correct_answer,True,1,exact
olympiadbench__Hothan_OlympiadBench_14,olympiadbench,Hothan_OlympiadBench_14,True,comparison.our_contains_correct_answer,False,0,absent
olympiadbench__Hothan_OlympiadBench_22,olympiadbench,Hothan_OlympiadBench_22,False,comparison.our_contains_correct_answer,True,2,exact
olympiadbench__Hothan_OlympiadBench_27,olympiadbench,Hothan_OlympiadBench_27,True,comparison.our_contains_correct_answer,False,0,absent
olympiadbench__Hothan_OlympiadBench_28,olympiadbench,Hothan_OlympiadBench_28,False,comparison.our_contains_correct_answer,True,1,exact
olympiadbench__Hothan_OlympiadBench_34,olympiadbench,Hothan_OlympiadBench_34,False,comparison.our_contains_correct_answer,True,1,exact
olympiadbench__Hothan_OlympiadBench_39,olympiadbench,Hothan_OlympiadBench_39,True,comparison.our_contains_correct_answer,False,0,absent
openai__gsm8k__openai_gsm8k_10,openai/gsm8k,openai_gsm8k_10,False,comparison.our_contains_correct_answer,True,1,exact
openai__gsm8k__openai_gsm8k_2,openai/gsm8k,openai_gsm8k_2,False,comparison.our_contains_correct_answer,True,1,exact
openai__gsm8k__openai_gsm8k_21,openai/gsm8k,openai_gsm8k_21,False,comparison.our_contains_correct_answer,True,1,exact
openai__gsm8k__openai_gsm8k_24,openai/gsm8k,openai_gsm8k_24,False,comparison.our_contains_correct_answer,True,1,exact
openai__gsm8k__openai_gsm8k_26,openai/gsm8k,openai_gsm8k_26,True,comparison.our_contains_correct_answer,False,0,absent
openai__gsm8k__openai_gsm8k_34,openai/gsm8k,openai_gsm8k_34,True,comparison.our_contains_correct_answer,False,0,absent
openai__gsm8k__openai_gsm8k_37,openai/gsm8k,openai_gsm8k_37,True,comparison.our_contains_correct_answer,False,0,absent
